layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,96801.8,3.6614,295.578,0.020316,0.150622,-0.192267,0.00064924,,,6.67234e-20,3.42569e-25,3.23499e-11,3.59515e-23,2.49364e-15,7.91497e-13,3.87128e-11,5.3e-07,2.20216e-13,1.98727e-14,1.01225e-20,1.87211e-25,2.18376e-14,3.3e-07,1.35008e-36,9.06197e-06,0.00188384
1,84279.8,10.9462,290.669,0.0149592,0.137549,-0.274574,0.000694266,,,1.62892e-19,1.12016e-24,5.71416e-11,1.10134e-22,8.33668e-15,1.467e-12,7.87314e-11,4.96052e-07,2.73425e-13,3.03695e-14,7.63562e-20,3.58027e-24,1.52828e-13,3.29927e-07,6.81002e-36,1.4561e-05,0.00251954
2,73377.7,18.1536,285.61,0.0107777,0.146293,-0.349395,0.000710184,,,3.9908e-19,3.07641e-24,1.04355e-10,1.95185e-22,1.63548e-14,1.94686e-12,8.15071e-11,4.61191e-07,4.00513e-13,4.45049e-14,2.51304e-19,2.98769e-23,3.17283e-13,3.29845e-07,2.95613e-35,1.91273e-05,0.00306131
3,63885.8,25.28,280.352,0.00755883,0.155398,-0.307637,0.000708552,,,1.02452e-18,8.20417e-24,2.04392e-10,3.09521e-22,2.91528e-14,2.35104e-12,7.47712e-11,4.26513e-07,6.1499e-13,6.73231e-14,7.3441e-19,2.40607e-22,5.98446e-13,3.29755e-07,1.23839e-34,2.28828e-05,0.00352081
4,55621.8,32.3204,274.9,0.00512568,0.164878,-0.278067,0.000701025,,,2.66849e-18,2.13089e-23,4.13811e-10,4.67654e-22,5.02216e-14,2.65481e-12,6.32179e-11,3.93152e-07,9.58605e-13,1.03565e-13,2.11095e-18,2.04316e-21,1.1155e-12,3.29656e-07,5.10739e-34,2.59295e-05,0.00390787
5,48426.7,39.2714,269.429,0.00332681,0.172663,-0.319302,0.000698276,,,6.88592e-18,5.35639e-23,8.40629e-10,6.81583e-22,8.39777e-14,2.79805e-12,4.8267e-11,3.62333e-07,1.51609e-12,1.62717e-13,5.94863e-18,1.78072e-20,2.06125e-12,3.29546e-07,2.0368e-33,2.84492e-05,0.00423228
6,42162.4,46.1291,263.745,0.00203695,0.178775,-0.405089,0.000723707,,,1.70919e-17,1.27769e-22,1.66553e-09,9.39662e-22,1.34088e-13,2.71173e-12,3.23796e-11,3.35337e-07,2.44887e-12,2.64018e-13,1.60673e-17,1.60102e-19,3.74976e-12,3.29426e-07,7.81821e-33,3.05013e-05,0.00450194
7,36708.4,52.8814,257.454,0.00115669,0.178326,-0.477904,0.000805773,,,3.93201e-17,2.81013e-22,3.11827e-09,1.17396e-21,1.97935e-13,2.37721e-12,1.88482e-11,3.13403e-07,4.07708e-12,4.4589e-13,4.01142e-17,1.46391e-18,6.63924e-12,3.29294e-07,3.07304e-32,3.21026e-05,0.00472318
8,31960,59.5092,250.474,0.000598601,0.171336,-0.490849,0.000965813,,,8.12076e-17,5.55843e-22,5.34901e-09,1.28427e-21,2.61552e-13,1.86054e-12,9.52104e-12,2.97197e-07,7.09907e-12,7.79861e-13,8.84984e-17,1.13223e-17,1.1261e-11,3.2915e-07,1.57778e-31,3.33809e-05,0.00490277
9,27825.7,65.992,242.816,0.000278513,0.153721,-0.476969,0.00119437,,,1.46376e-16,9.6622e-22,8.17083e-09,1.21851e-21,3.07253e-13,1.25383e-12,4.00826e-12,2.86459e-07,1.31522e-11,1.36861e-12,1.6701e-16,5.51257e-17,1.78368e-11,3.28996e-07,1.64613e-30,3.44772e-05,0.00505955
10,24226.3,72.3108,234.631,0.000116132,0.125428,-0.460891,0.00143089,,,2.26762e-16,1.45194e-21,1.09181e-08,1.00635e-21,3.22376e-13,6.86889e-13,1.35619e-12,2.80156e-07,2.57971e-11,2.29975e-12,2.59215e-16,1.51576e-16,2.5388e-11,3.28831e-07,3.01823e-29,3.53933e-05,0.00519573
11,21092.5,78.4511,226.176,4.38132e-05,0.0969333,-0.422126,0.00160864,,,3.05548e-16,1.90677e-21,1.28596e-08,6.99496e-22,2.91487e-13,2.90821e-13,4.17395e-13,2.76952e-07,5.13216e-11,3.52253e-12,2.98319e-16,2.44098e-16,3.06346e-11,3.28657e-07,5.96113e-28,3.61822e-05,0.0053112
12,18364,84.4053,217.7,1.52087e-05,0.0682152,-0.320734,0.001701,,,3.72618e-16,2.27819e-21,1.38302e-08,3.73424e-22,2.06484e-13,9.25326e-14,1.31132e-13,2.75556e-07,9.65036e-11,4.71061e-12,2.13308e-16,2.07507e-16,2.90512e-11,3.28474e-07,1.06408e-26,3.69639e-05,0.00541592
13,15988.5,90.171,209.379,4.93205e-06,0.0477859,-0.189893,0.00175853,,,4.341e-16,2.63272e-21,1.42102e-08,1.57674e-22,1.1751e-13,2.50364e-14,3.74298e-14,2.74957e-07,1.60541e-10,5.35245e-12,9.58168e-17,9.45248e-17,2.11792e-11,3.28281e-07,1.68172e-25,3.8303e-05,0.00552252
14,13920.3,95.7499,201.304,1.50822e-06,0.0356476,-0.0712957,0.00178253,,,4.95087e-16,2.979e-21,1.4359e-08,6.43187e-23,6.52507e-14,7.30508e-15,1.05987e-14,2.74629e-07,2.34356e-10,5.24254e-12,3.71079e-17,3.20976e-17,1.33066e-11,3.28078e-07,2.35728e-24,3.95681e-05,0.00562058
15,12119.6,101.173,195.487,6.83585e-07,0.0291141,-0.0283164,0.00178886,0.485276,191.522,5.85389e-16,3.39681e-21,1.44249e-08,4.13376e-23,5.11641e-14,3.52208e-15,5.32829e-15,2.74383e-07,3.10405e-10,4.92336e-12,2.25716e-17,1.60827e-17,1.01104e-11,3.27864e-07,2.90514e-23,4.08462e-05,0.00571231
16,10551.9,106.5,192.05,6.83585e-07,0.0286534,-0.0290656,0.00224571,0.481366,184.061,7.79144e-16,4.05289e-21,1.49667e-08,1.52931e-23,1.9542e-14,1.42981e-16,6.2744e-16,2.67672e-07,2.67609e-09,3.34364e-11,7.71255e-18,3.19865e-17,2.38718e-11,3.20587e-07,3.11769e-22,4.19984e-05,0.00579921
17,9186.91,111.776,189.511,6.83585e-07,0.029031,-0.0286798,0.00255227,0.490503,172.932,1.03314e-15,4.82223e-21,1.54387e-08,1.41492e-23,1.82747e-14,6.55383e-17,4.36386e-16,2.61177e-07,5.08064e-09,5.12994e-11,5.54692e-18,3.03963e-17,2.91361e-11,3.13093e-07,2.89063e-21,4.30316e-05,0.0058823
18,7998.53,117.022,187.778,6.83585e-07,0.0303556,-0.0305048,0.00281716,0.515124,160.683,1.40128e-15,5.8371e-21,1.61518e-08,1.56108e-23,1.96324e-14,4.58536e-17,3.99794e-16,2.54684e-07,7.54365e-09,6.42142e-11,4.70478e-18,2.76394e-17,3.24493e-11,3.05286e-07,2.31047e-20,4.39551e-05,0.00596216
19,6963.86,122.257,186.562,6.83585e-07,0.0319215,-0.031746,0.00311652,0.54306,147.494,1.9632e-15,7.2668e-21,1.73544e-08,1.88314e-23,2.24545e-14,3.95103e-17,4.11482e-16,2.48097e-07,1.00778e-08,7.56969e-11,4.46049e-18,2.63486e-17,3.58059e-11,2.97107e-07,1.59247e-19,4.4781e-05,0.00603906
20,6063.04,127.494,185.833,6.83585e-07,0.0338064,-0.0338724,0.00352818,0.576092,134.543,2.87389e-15,9.39671e-21,1.93345e-08,2.42826e-23,2.66622e-14,3.93495e-17,4.52434e-16,2.41334e-07,1.27e-08,8.89216e-11,4.66631e-18,2.7496e-17,4.05028e-11,2.8848e-07,9.46951e-19,4.55228e-05,0.00611305
21,5278.75,132.745,185.477,6.83585e-07,0.0361245,-0.0360296,0.00413995,0.615631,122.099,4.42214e-15,1.27092e-20,2.25025e-08,3.29577e-23,3.24614e-14,4.39874e-17,5.19156e-16,2.34342e-07,1.54206e-08,1.0669e-10,5.36303e-18,3.20642e-17,4.76453e-11,2.79346e-07,4.86477e-18,4.61938e-05,0.00618401
22,4595.91,138.021,185.474,6.83585e-07,0.0390062,-0.0390368,0.00508228,0.664093,111.01,7.19317e-15,1.80764e-20,2.75007e-08,4.68913e-23,4.02616e-14,5.45572e-17,6.1376e-16,2.2707e-07,1.82488e-08,1.32874e-10,6.78772e-18,4.25476e-17,5.88483e-11,2.69631e-07,2.16662e-17,4.68075e-05,0.00625174
23,4001.4,143.331,185.77,6.83585e-07,0.0427875,-0.0427342,0.00654742,0.727233,100.968,1.23709e-14,2.70618e-20,3.53277e-08,6.96522e-23,5.06523e-14,7.4373e-17,7.41754e-16,2.19476e-07,2.11857e-08,1.7271e-10,9.47453e-18,6.46871e-17,7.64195e-11,2.59272e-07,8.41698e-17,4.73778e-05,0.00631603
