layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,3.51554,285.118,0.0106567,0.157396,-0.336625,0.00059835,,,5.07003e-30,1e-30,3.18528e-21,1e-30,1.29287e-27,4.77542e-21,4.1126e-27,5.3e-07,8.50283e-17,7.95274e-26,1e-30,1e-30,1e-30,3.3e-07,0,1.66416e-11,0.00106265
1,83384.9,10.4966,279.195,0.00714568,0.142952,-0.278282,0.000621798,,,6.60862e-30,1e-30,3.23812e-21,1e-30,1.507e-27,4.77541e-21,4.28244e-27,5.3e-07,8.50283e-17,5.64294e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.36489e-11,0.00136183
2,72606.4,17.3753,273.089,0.00457457,0.149702,-0.233951,0.000622918,,,8.47575e-30,1e-30,3.28543e-21,1e-30,1.7773e-27,4.77541e-21,4.32469e-27,5.3e-07,8.50283e-17,4.3245e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.91377e-11,0.00161419
3,63221.1,24.1468,266.828,0.0027504,0.15443,-0.256729,0.000602256,,,1.0722e-29,1e-30,3.32788e-21,1e-30,2.12144e-27,4.77541e-21,4.29508e-27,5.3e-07,8.50283e-17,3.48334e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.32955e-11,0.00182561
4,55049,30.8021,260.096,0.00152616,0.157149,-0.324501,0.000572093,,,1.33252e-29,1e-30,3.36597e-21,1e-30,2.59061e-27,4.77541e-21,4.2311e-27,5.3e-07,8.50283e-17,2.91092e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.62085e-11,0.00200081
5,47933.3,37.3246,252.679,0.000770556,0.152553,-0.375009,0.000537096,,,1.62155e-29,1e-30,3.40007e-21,1e-30,3.26865e-27,4.77541e-21,4.15743e-27,5.3e-07,8.50283e-17,2.50659e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.79434e-11,0.00214416
6,41737.3,43.6952,244.64,0.000350616,0.140654,-0.362941,0.000504495,,,1.93369e-29,1e-30,3.43044e-21,1e-30,4.27292e-27,4.77541e-21,4.08967e-27,5.3e-07,8.50283e-17,2.20516e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.8623e-11,0.00226693
7,36342.3,49.8972,236.172,0.000143981,0.121061,-0.339421,0.000471361,,,2.26622e-29,1e-30,3.45735e-21,1e-30,5.77917e-27,4.77541e-21,4.03738e-27,5.3e-07,8.50283e-17,1.96923e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.84144e-11,0.00237828
8,31644.6,55.9193,227.533,5.40103e-05,0.0937879,-0.323965,0.00044264,,,2.6215e-29,1e-30,3.48106e-21,1e-30,8.04884e-27,4.7754e-21,4.00622e-27,5.3e-07,8.50283e-17,1.78441e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.75123e-11,0.00247308
9,27554.1,61.756,218.947,1.88045e-05,0.0699179,-0.288399,0.000416325,,,3.00562e-29,1e-30,3.50186e-21,1e-30,1.14815e-26,4.7754e-21,3.99966e-27,5.3e-07,8.50283e-17,1.63431e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.61044e-11,0.00255512
