layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,3.51554,285.118,0.0106567,0.157396,-0.336625,0.00059835,,,5.06973e-30,1e-30,3.18509e-21,1e-30,1.29279e-27,4.77527e-21,4.11235e-27,5.3e-07,8.50257e-17,7.95227e-26,1e-30,1e-30,1e-30,3.3e-07,0,1.66415e-11,0.00106265
1,83384.9,10.4966,279.195,0.00714568,0.142952,-0.278282,0.000621798,,,6.60822e-30,1e-30,3.23793e-21,1e-30,1.50691e-27,4.77527e-21,4.28218e-27,5.3e-07,8.50257e-17,5.6426e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.36489e-11,0.00136183
2,72606.4,17.3753,273.089,0.00457457,0.149702,-0.233951,0.000622918,,,8.47525e-30,1e-30,3.28524e-21,1e-30,1.7772e-27,4.77527e-21,4.32443e-27,5.3e-07,8.50257e-17,4.32424e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.91377e-11,0.00161419
3,63221.1,24.1468,266.828,0.0027504,0.15443,-0.256729,0.000602255,,,1.07214e-29,1e-30,3.32768e-21,1e-30,2.12131e-27,4.77527e-21,4.29482e-27,5.3e-07,8.50257e-17,3.48314e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.32954e-11,0.00182561
4,55049,30.8021,260.096,0.00152616,0.157149,-0.324501,0.000572093,,,1.33244e-29,1e-30,3.36577e-21,1e-30,2.59045e-27,4.77527e-21,4.23085e-27,5.3e-07,8.50257e-17,2.91075e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.62084e-11,0.00200081
5,47933.3,37.3246,252.679,0.000770556,0.152553,-0.375009,0.000537096,,,1.62146e-29,1e-30,3.39986e-21,1e-30,3.26845e-27,4.77527e-21,4.15718e-27,5.3e-07,8.50257e-17,2.50644e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.79433e-11,0.00214416
6,41737.3,43.6952,244.64,0.000350616,0.140654,-0.362941,0.000504495,,,1.93357e-29,1e-30,3.43023e-21,1e-30,4.27267e-27,4.77526e-21,4.08942e-27,5.3e-07,8.50257e-17,2.20503e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.86229e-11,0.00226693
7,36342.3,49.8972,236.172,0.000143981,0.121061,-0.339421,0.000471361,,,2.26608e-29,1e-30,3.45714e-21,1e-30,5.77882e-27,4.77526e-21,4.03714e-27,5.3e-07,8.50257e-17,1.96911e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.84143e-11,0.00237828
8,31644.6,55.9193,227.533,5.40103e-05,0.093788,-0.323965,0.000442639,,,2.62134e-29,1e-30,3.48085e-21,1e-30,8.04835e-27,4.77526e-21,4.00598e-27,5.3e-07,8.50257e-17,1.7843e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.75122e-11,0.00247308
9,27554.1,61.756,218.947,1.88045e-05,0.0699181,-0.288399,0.000416325,,,3.00544e-29,1e-30,3.50165e-21,1e-30,1.14808e-26,4.77525e-21,3.99942e-27,5.3e-07,8.50257e-17,1.63421e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.61043e-11,0.00255511
10,23992.4,67.4066,210.557,6.15438e-06,0.0494519,-0.214989,0.00039019,,,3.42555e-29,1e-30,3.5198e-21,1e-30,1.67086e-26,4.77525e-21,4.01989e-27,5.3e-07,8.50257e-17,1.50682e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.68897e-11,0.00263051
