layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,98546.7,3.81806,305.889,0.0363473,0.142307,-0.0683197,0.000540936,,,7.01896e-30,1e-30,3.34576e-21,1e-30,9.32915e-28,1.21259e-20,5.76741e-26,5.3e-07,3.94597e-17,8.43838e-26,1e-30,1e-30,1e-30,3.3e-07,0,1.72894e-11,0.00106376
1,85783.6,11.4229,301.662,0.0284674,0.13009,-0.137949,0.000566401,,,9.42644e-30,1e-30,3.405e-21,1e-30,1.02534e-27,1.21259e-20,6.11178e-26,5.3e-07,3.94597e-17,5.82254e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.56482e-11,0.00138103
2,74673.5,18.9663,297.413,0.0220856,0.139451,-0.242545,0.00056971,,,1.25031e-29,1e-30,3.45748e-21,1e-30,1.13047e-27,1.21259e-20,6.29698e-26,5.3e-07,3.94597e-17,4.34643e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.29195e-11,0.00165285
3,65002.4,26.4496,293.126,0.0169452,0.149625,-0.333414,0.000557381,,,1.6412e-29,1e-30,3.50406e-21,1e-30,1.25103e-27,1.21259e-20,6.37322e-26,5.3e-07,3.94597e-17,3.4195e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.88189e-11,0.00187891
4,56583.7,33.873,288.778,0.0128311,0.160623,-0.385625,0.00053405,,,2.13474e-29,1e-30,3.54547e-21,1e-30,1.39064e-27,1.21259e-20,6.37516e-26,5.3e-07,3.94597e-17,2.78179e-26,1e-30,1e-30,1e-30,3.3e-07,0,4.31366e-11,0.00206789
5,49255.4,41.2353,284.343,0.00956378,0.171209,-0.394848,0.000504165,,,2.75355e-29,1e-30,3.58235e-21,1e-30,1.55425e-27,1.21259e-20,6.32704e-26,5.3e-07,3.94597e-17,2.31679e-26,1e-30,1e-30,1e-30,3.3e-07,0,4.64369e-11,0.00222587
6,42876.2,48.5339,279.789,0.00699325,0.181385,-0.359145,0.000470694,,,3.52331e-29,1e-30,3.61523e-21,1e-30,1.74872e-27,1.21259e-20,6.24604e-26,5.3e-07,3.94597e-17,1.96404e-26,1e-30,1e-30,1e-30,3.3e-07,0,4.88376e-11,0.00235742
7,37323.2,55.7655,275.106,0.00499579,0.190829,-0.377817,0.000435735,,,4.47417e-29,1e-30,3.64461e-21,1e-30,1.98212e-27,1.21259e-20,6.14458e-26,5.3e-07,3.94597e-17,1.68806e-26,1e-30,1e-30,1e-30,3.3e-07,0,5.0452e-11,0.00246678
8,32489.4,62.9287,270.521,0.00347222,0.19954,-0.457612,0.000398751,,,5.66205e-29,1e-30,3.67089e-21,1e-30,2.2502e-27,1.21259e-20,6.03169e-26,5.3e-07,3.94597e-17,1.46402e-26,1e-30,1e-30,1e-30,3.3e-07,0,5.14618e-11,0.00255837
9,28281.6,70.0239,265.923,0.00232927,0.205852,-0.560725,0.000361593,,,7.13088e-29,1e-30,3.69451e-21,1e-30,2.56679e-27,1.21259e-20,5.91409e-26,5.3e-07,3.94597e-17,1.27963e-26,1e-30,1e-30,1e-30,3.3e-07,0,5.1938e-11,0.0026353
10,24618.7,77.0441,260.927,0.0014871,0.209769,-0.638757,0.000326686,,,8.88279e-29,1e-30,3.71576e-21,1e-30,2.97707e-27,1.21259e-20,5.79732e-26,5.3e-07,3.94597e-17,1.12916e-26,1e-30,1e-30,1e-30,3.3e-07,0,5.18424e-11,0.00269939
11,21430.3,83.9755,255.42,0.000890142,0.204393,-0.680652,0.000294406,,,1.09215e-28,1e-30,3.73488e-21,1e-30,3.5295e-27,1.21259e-20,5.68583e-26,5.3e-07,3.94597e-17,1.00602e-26,1e-30,1e-30,1e-30,3.3e-07,0,5.12082e-11,0.00275265
12,18654.8,90.8006,249.28,0.00049043,0.189723,-0.709749,0.000266118,,,1.32208e-28,1e-30,3.75205e-21,1e-30,4.30517e-27,1.21259e-20,5.58317e-26,5.3e-07,3.94597e-17,9.0556e-27,1e-30,1e-30,1e-30,3.3e-07,0,5.00553e-11,0.00279662
13,16238.8,97.4986,242.426,0.000243979,0.165993,-0.734095,0.000241359,,,1.57224e-28,1e-30,3.76741e-21,1e-30,5.43857e-27,1.21259e-20,5.49217e-26,5.3e-07,3.94597e-17,8.20205e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.8407e-11,0.00284635
14,14135.6,104.047,234.887,0.000108083,0.133206,-0.730381,0.000219153,,,1.8359e-28,1e-30,3.78107e-21,1e-30,7.14465e-27,1.21259e-20,5.41495e-26,5.3e-07,3.94597e-17,7.4993e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.63177e-11,0.00289469
15,12304.9,110.426,226.845,4.25803e-05,0.102103,-0.628655,0.000201292,,,2.10962e-28,1e-30,3.79315e-21,1e-30,9.75236e-27,1.21259e-20,5.35294e-26,5.3e-07,3.94597e-17,6.92263e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.38897e-11,0.00293945
16,10711.3,116.622,218.573,1.51067e-05,0.072688,-0.447586,0.000185681,,,2.39578e-28,1e-30,3.80374e-21,1e-30,1.37577e-26,1.21259e-20,5.30689e-26,5.3e-07,3.94597e-17,6.4374e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.1255e-11,0.00298224
17,9324.01,122.627,210.32,4.91687e-06,0.0513453,-0.272772,0.000171308,,,2.70076e-28,1e-30,3.81297e-21,1e-30,1.99289e-26,1.21259e-20,5.27714e-26,5.3e-07,3.94597e-17,6.01175e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.14834e-11,0.00302686
18,8116.43,128.44,202.244,1.48995e-06,0.0380756,-0.142768,0.000157865,,,3.03171e-28,1e-30,3.82096e-21,1e-30,2.95027e-26,1.21259e-20,5.26379e-26,5.3e-07,3.94597e-17,5.63774e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.1915e-11,0.00306962
19,7065.25,134.064,194.421,4.23508e-07,0.0304888,-0.0432895,0.000144473,,,3.39489e-28,1e-30,3.82783e-21,1e-30,4.42901e-26,1.21259e-20,5.2669e-26,5.3e-07,3.94597e-17,5.30449e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.23405e-11,0.00311068
20,6150.21,139.533,189.074,1.80406e-07,0.0285845,-0.0256259,0.000130516,0.483156,145.338,3.99563e-28,1e-30,3.83371e-21,1e-30,5.90878e-26,1.21259e-20,5.28666e-26,5.3e-07,3.94597e-17,4.87143e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.27644e-11,0.00315005
