layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,114570,3.57225,284.86,0.00877575,0.134108,-0.277093,0.000561841,,,3.61096e-18,3.06948e-24,2.92935e-09,7.28242e-23,6.90924e-15,1.12981e-12,9.03624e-11,5.3e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.45239e-80,1.04568e-06,0.00171269
1,99581,10.66,278.391,0.00566672,0.122566,-0.218235,0.000625937,,,4.93669e-18,5.72715e-24,3.04465e-09,1.01214e-22,1.03913e-14,1.39368e-12,8.85694e-11,5.29695e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,8.59831e-76,1.65705e-06,0.00237156
2,86552.8,17.6314,271.731,0.00345528,0.128752,-0.188962,0.000659303,,,6.72781e-18,8.79272e-24,3.22947e-09,1.14961e-22,1.2948e-14,1.51127e-12,7.82655e-11,5.2945e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,4.27065e-71,2.13046e-06,0.00293312
3,75229.1,24.4798,264.824,0.0019483,0.132132,-0.21411,0.000666896,,,9.14004e-18,1.25129e-23,3.48438e-09,1.15875e-22,1.45672e-14,1.50669e-12,6.36476e-11,5.29263e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.86215e-66,2.51069e-06,0.00340818
4,65386.9,31.1926,257.319,0.00100032,0.132721,-0.272127,0.00066182,,,1.22738e-17,1.68529e-23,3.80517e-09,1.05537e-22,1.52994e-14,1.39638e-12,4.84359e-11,5.29126e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.09792e-61,2.78659e-06,0.00380536
5,56832.3,37.7513,249.162,0.000463403,0.125819,-0.297533,0.00065216,,,1.62111e-17,2.19086e-23,4.185e-09,8.87677e-23,1.5433e-14,1.22086e-12,3.50357e-11,5.29026e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.19846e-57,2.98572e-06,0.0041333
6,49397,44.138,240.532,0.000193523,0.111438,-0.272127,0.000641768,,,2.10461e-17,2.77803e-23,4.61684e-09,7.05402e-23,1.52752e-14,1.02368e-12,2.44519e-11,5.28952e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.86784e-53,3.12975e-06,0.00441716
7,42934.4,50.3399,231.685,7.36102e-05,0.0916751,-0.241918,0.000630024,,,2.69144e-17,3.43172e-23,5.09512e-09,5.40854e-23,1.50636e-14,8.36451e-13,1.67086e-11,5.28895e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.75429e-49,3.20917e-06,0.00465451
8,37317.3,56.3506,222.864,2.59041e-05,0.0665427,-0.204735,0.000621324,,,3.40138e-17,4.1523e-23,5.61623e-09,4.07524e-23,1.49705e-14,6.75796e-13,1.13613e-11,5.28847e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,4.90886e-46,3.23643e-06,0.00485074
9,32435.1,62.1685,214.227,8.5482e-06,0.0469367,-0.14015,0.000613758,,,4.26676e-17,5.06298e-23,6.17849e-09,3.06842e-23,1.51644e-14,5.4738e-13,7.86564e-12,5.28804e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,8.34037e-43,3.30173e-06,0.00502468
10,28191.6,67.7958,205.858,2.66679e-06,0.0328606,-0.0548339,0.000609399,,,5.32544e-17,6.18101e-23,6.78165e-09,2.36174e-23,1.59665e-14,4.53375e-13,5.76888e-12,5.28764e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,9.35779e-40,3.38448e-06,0.00517741
11,24503.3,73.2752,200.671,1.22919e-06,0.0258238,-0.0253339,0.000599413,0.424728,237.673,7.04684e-17,7.70212e-23,7.43113e-09,2.17941e-23,1.72883e-14,4.11788e-13,4.77062e-12,5.28725e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,5.82515e-37,3.47461e-06,0.0053088
12,21297.5,78.6948,199,1.22919e-06,0.0264987,-0.0267577,0.00125587,0.439233,221.605,3.7122e-16,3.64018e-22,3.01313e-08,1.21009e-23,9.16355e-15,1.99537e-13,7.72274e-13,5.27428e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.00403e-34,3.56442e-06,0.00542362
13,18511.2,84.1133,198.206,1.22919e-06,0.0287982,-0.0286648,0.00198668,0.479327,204.169,8.855e-16,7.68949e-22,5.43699e-08,1.34169e-23,9.18151e-15,1.82885e-13,3.19443e-13,5.26086e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,3.85119e-32,3.64864e-06,0.00552597
14,16089.4,89.5488,197.885,1.22919e-06,0.0327341,-0.032775,0.00280362,0.545429,187.545,1.74886e-15,1.33919e-21,8.05011e-08,1.95029e-23,1.17866e-14,2.22769e-13,3.315e-13,5.24679e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,4.32152e-30,3.73933e-06,0.00561923
15,13984.4,95.0105,197.741,1.22919e-06,0.0371282,-0.0370734,0.00372028,0.619164,171.716,3.16286e-15,2.13958e-21,1.08851e-07,2.84722e-23,1.50418e-14,2.75665e-13,4.10138e-13,5.23199e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.98084e-28,3.84441e-06,0.00570601
16,12154.8,100.503,197.749,1.22919e-06,0.0419971,-0.0420236,0.00475318,0.701006,156.295,5.44517e-15,3.26378e-21,1.39781e-07,4.10046e-23,1.87426e-14,3.36973e-13,5.05088e-13,5.21641e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.32761e-26,3.96902e-06,0.00578823
17,10564.6,106.031,197.885,1.22919e-06,0.0475038,-0.0474708,0.00592183,0.793485,141.116,9.08853e-15,4.84427e-21,1.73682e-07,5.8645e-23,2.29781e-14,4.08006e-13,6.12435e-13,5.19997e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,3.99324e-25,4.11662e-06,0.00586717
18,9182.44,111.597,198.14,1.22919e-06,0.0536715,-0.0536851,0.00724941,0.897013,126.729,1.48597e-14,7.06909e-21,2.10997e-07,8.37665e-23,2.78828e-14,4.91042e-13,7.34729e-13,5.1826e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,8.44705e-24,4.28963e-06,0.00594364
19,7981.1,117.206,198.494,1.22919e-06,0.0606376,-0.0606155,0.00876264,1.01307,113.521,2.39426e-14,1.02033e-20,2.52211e-07,1.19837e-22,3.36128e-14,5.88671e-13,8.75604e-13,5.1642e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.30352e-22,4.49005e-06,0.00601801
20,6936.94,122.86,198.925,1.22919e-06,0.0684334,-0.0684377,0.0104927,1.14226,101.618,3.81592e-14,1.46208e-20,2.9787e-07,1.71958e-22,4.035e-14,7.03802e-13,1.03916e-12,5.1447e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.51695e-21,4.71971e-06,0.00609036
