layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,115608,3.71814,295.357,0.0168004,0.128467,-0.166741,0.000522748,,,1.41425e-18,1.60118e-24,9.66638e-10,8.11536e-23,5.60082e-15,1.21704e-12,1.34324e-10,5.3e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.33345e-75,1.65258e-06,0.00172801
1,100473,11.1111,289.98,0.0120088,0.118339,-0.258296,0.000577478,,,2.02011e-18,3.15728e-24,1.02419e-09,1.34144e-22,9.58621e-15,1.63638e-12,1.36364e-10,5.29488e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.65928e-71,2.67644e-06,0.00240319
2,87320.6,18.4151,284.39,0.00834442,0.12686,-0.284499,0.000603789,,,2.9403e-18,5.19027e-24,1.13279e-09,1.79767e-22,1.34406e-14,1.94444e-12,1.2759e-10,5.29034e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.94437e-67,3.48522e-06,0.00297945
3,75889.6,25.6241,278.522,0.00559678,0.135286,-0.236054,0.000611047,,,4.3482e-18,7.95599e-24,1.29917e-09,2.13873e-22,1.69607e-14,2.13537e-12,1.11438e-10,5.28655e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.66771e-63,4.10719e-06,0.00346832
4,65955,32.7321,272.507,0.00358457,0.143625,-0.229335,0.000605521,,,6.48936e-18,1.17496e-23,1.52679e-09,2.33013e-22,1.98129e-14,2.20606e-12,9.18054e-11,5.28353e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.76393e-59,4.57395e-06,0.00388007
5,57320.9,39.734,266.338,0.00215705,0.149151,-0.280283,0.000587904,,,9.6789e-18,1.70031e-23,1.81725e-09,2.35361e-22,2.17224e-14,2.15992e-12,7.18088e-11,5.28122e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.56886e-55,4.9507e-06,0.00422386
6,49817.1,46.6194,259.66,0.00119799,0.151871,-0.355709,0.000567825,,,1.42225e-17,2.38257e-23,2.17e-09,2.188e-22,2.25134e-14,1.99807e-12,5.35186e-11,5.2795e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,8.09848e-52,5.20298e-06,0.00450689
7,43295.7,53.3701,252.274,0.000604287,0.146099,-0.387306,0.000548474,,,2.03851e-17,3.22632e-23,2.58184e-09,1.87279e-22,2.23094e-14,1.74928e-12,3.81773e-11,5.27823e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.80963e-48,5.34018e-06,0.0047362
8,37627.9,59.9652,244.231,0.000273701,0.13184,-0.367207,0.00053503,,,2.83961e-17,4.26583e-23,3.04805e-09,1.49417e-22,2.14704e-14,1.46147e-12,2.62595e-11,5.27728e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,5.65436e-45,5.42951e-06,0.00492828
9,32702.1,66.3861,235.718,0.000111314,0.109963,-0.339207,0.000523565,,,3.84814e-17,5.46817e-23,3.56384e-09,1.1299e-22,2.03648e-14,1.17835e-12,1.76003e-11,5.27653e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,6.04943e-42,5.43443e-06,0.00509414
10,28421.1,72.6198,227.005,4.11358e-05,0.080475,-0.296494,0.000516714,,,5.09497e-17,6.82637e-23,4.12549e-09,8.29744e-23,1.93788e-14,9.31401e-13,1.16676e-11,5.2759e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,4.02778e-39,5.37272e-06,0.00523084
11,24700.5,78.66,218.331,1.40472e-05,0.0566449,-0.209602,0.000512444,,,6.62466e-17,8.3876e-23,4.731e-09,6.06649e-23,1.88271e-14,7.34264e-13,7.82852e-12,5.27533e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.82824e-36,5.29173e-06,0.0053482
12,21467,84.5057,209.852,4.49385e-06,0.0384783,-0.0910274,0.000514421,,,8.52822e-17,1.0426e-22,5.37995e-09,4.55271e-23,1.91473e-14,5.90831e-13,5.54263e-12,5.27478e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,5.16607e-34,5.32656e-06,0.00546321
13,18656.8,90.1841,203.453,2.10526e-06,0.0291225,-0.031219,0.000516151,0.476255,192.905,1.1303e-16,1.30036e-22,6.07622e-09,3.9515e-23,2.06536e-14,5.15577e-13,4.44442e-12,5.27423e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,8.40144e-32,5.35161e-06,0.00556536
14,16214.5,95.777,201.111,2.10526e-06,0.0294247,-0.0281073,0.0013644,0.486194,178.021,7.12258e-16,7.34313e-22,3.00158e-08,2.51214e-23,1.29472e-14,2.83017e-13,7.74219e-13,5.25631e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,8.36406e-30,5.4093e-06,0.00565806
15,14091.9,101.361,200.369,2.10526e-06,0.0318286,-0.0332697,0.00229482,0.529609,164.222,1.74284e-15,1.57522e-21,5.56884e-08,3.44287e-23,1.60054e-14,3.16251e-13,5.13645e-13,5.23764e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,5.26386e-28,5.46571e-06,0.00574395
16,12247.1,106.962,199.891,2.10526e-06,0.0363462,-0.0356572,0.0033195,0.607041,148.967,3.45673e-15,2.73585e-21,8.33581e-08,5.13174e-23,2.12654e-14,3.9784e-13,6.34471e-13,5.2182e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.176e-26,5.53137e-06,0.00582505
17,10643.9,112.59,199.811,2.10526e-06,0.0414399,-0.0421105,0.00446467,0.693785,135.071,6.2936e-15,4.35472e-21,1.13644e-07,7.52803e-23,2.71624e-14,4.93776e-13,8.08567e-13,5.19775e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,6.15085e-25,5.616e-06,0.00590276
18,9250.48,118.25,199.712,2.10526e-06,0.047129,-0.0468133,0.00574969,0.790519,121.607,1.08516e-14,6.59852e-21,1.46894e-07,1.07492e-22,3.37505e-14,6.01379e-13,1.00239e-12,5.17632e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.23466e-23,5.72592e-06,0.00597795
19,8039.52,123.943,199.771,2.10526e-06,0.0535627,-0.053917,0.00720508,0.898969,109.805,1.8156e-14,9.73072e-21,1.83708e-07,1.52677e-22,4.12551e-14,7.2529e-13,1.21905e-12,5.15375e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.82217e-22,5.86528e-06,0.00605108
20,6987.07,129.674,199.854,2.10526e-06,0.0607698,-0.0606071,0.00885961,1.01965,98.8973,2.96928e-14,1.40963e-20,2.24572e-07,2.15529e-22,4.99258e-14,8.68116e-13,1.46361e-12,5.13e-07,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.0408e-21,6.03695e-06,0.00612225
