layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,114570,3.57225,284.86,0.00877575,0.134676,-0.277572,0.000581421,,,4.52284e-18,8.27622e-24,3.46623e-09,1.72342e-22,1.6351e-14,1.71455e-12,1.46621e-10,5.3e-07,3.62061e-13,4.18713e-13,2.2175e-17,4.30522e-20,4.9374e-12,3.3e-07,2.04607e-57,2.38277e-06,0.00171902
1,99581,10.66,278.391,0.00566672,0.123122,-0.218874,0.000658131,,,6.32034e-18,1.61471e-23,3.63995e-09,2.49199e-22,2.56119e-14,2.07112e-12,1.37208e-10,5.29129e-07,5.95301e-13,4.39401e-13,2.26421e-17,1.00687e-19,5.91414e-12,3.29981e-07,1.02359e-55,3.90784e-06,0.00238454
2,86552.8,17.6314,271.731,0.00345528,0.129271,-0.189697,0.000706219,,,8.84273e-18,2.59854e-23,3.92766e-09,3.03519e-22,3.42532e-14,2.14019e-12,1.10647e-10,5.28394e-07,1.05509e-12,5.46267e-13,2.63096e-17,3.41512e-19,6.92618e-12,3.29959e-07,3.37977e-54,5.17701e-06,0.00295211
3,75229.1,24.4798,264.824,0.0019483,0.132651,-0.214977,0.000730865,,,1.22921e-17,3.86269e-23,4.30377e-09,3.41354e-22,4.30319e-14,1.94452e-12,7.7964e-11,5.27805e-07,1.89421e-12,7.09907e-13,3.1274e-17,1.35326e-18,7.90991e-12,3.29936e-07,1.03197e-52,6.27482e-06,0.00343261
4,65386.9,31.1926,257.319,0.00100032,0.133274,-0.273245,0.000743881,,,1.66938e-17,5.39352e-23,4.72418e-09,3.57863e-22,5.20528e-14,1.52889e-12,4.84875e-11,5.27358e-07,3.33128e-12,8.95591e-13,3.66238e-17,5.63034e-18,8.7346e-12,3.2991e-07,2.71134e-50,7.18322e-06,0.00383475
5,56832.3,37.7513,249.162,0.000463403,0.126581,-0.299124,0.000751052,,,2.19347e-17,7.16536e-23,5.14351e-09,3.4465e-22,6.01471e-14,1.03304e-12,2.72259e-11,5.2704e-07,5.61654e-12,1.05752e-12,4.13361e-17,1.76715e-17,9.23405e-12,3.29883e-07,1.52956e-47,7.94526e-06,0.00416716
6,49397,44.138,240.532,0.000193523,0.112581,-0.275138,0.000754193,,,2.78808e-17,9.1425e-23,5.53461e-09,2.98377e-22,6.4875e-14,6.11172e-13,1.43388e-11,5.26826e-07,8.93591e-12,1.15286e-12,4.39238e-17,3.02288e-17,9.28535e-12,3.29853e-07,6.08938e-45,8.59203e-06,0.00445492
7,42934.4,50.3399,231.685,7.36102e-05,0.0936087,-0.249834,0.000751918,,,3.45012e-17,1.12574e-22,5.89415e-09,2.31251e-22,6.46801e-14,3.29593e-13,7.36951e-12,5.2669e-07,1.32977e-11,1.16793e-12,4.35541e-17,3.23266e-17,8.89697e-12,3.29822e-07,2.04439e-42,9.10026e-06,0.00469565
8,37317.3,56.3506,222.864,2.59041e-05,0.0696755,-0.224189,0.000748917,,,4.19102e-17,1.35054e-22,6.23315e-09,1.63288e-22,6.02446e-14,1.68912e-13,3.8028e-12,5.26602e-07,1.85438e-11,1.11077e-12,4.08397e-17,2.71831e-17,8.21098e-12,3.29788e-07,6.30325e-40,9.48468e-06,0.00489476
9,32435.1,62.1685,214.227,8.5482e-06,0.050178,-0.174122,0.000745173,,,5.04235e-17,1.61714e-22,6.5655e-09,1.0788e-22,5.35476e-14,8.5005e-14,2.00535e-12,5.26541e-07,2.44435e-11,9.99399e-13,3.73071e-17,2.03407e-17,7.42932e-12,3.29752e-07,1.55323e-37,9.92424e-06,0.00507131
10,28191.6,67.7958,205.858,2.66679e-06,0.0351208,-0.105438,0.000743929,,,6.03917e-17,1.93154e-22,6.9023e-09,6.81981e-23,4.63001e-14,4.28765e-14,1.10075e-12,5.26496e-07,3.07742e-11,8.58778e-13,3.43541e-17,1.45292e-17,6.74172e-12,3.29714e-07,2.80841e-35,1.03915e-05,0.00522626
11,24503.3,73.2361,197.788,7.89255e-07,0.0260292,-0.0375822,0.000740898,,,7.19995e-17,2.29442e-22,7.25098e-09,4.26258e-23,4.01791e-14,2.23005e-14,6.56548e-13,5.26457e-07,3.73662e-11,7.10738e-13,3.35174e-17,1.05711e-17,6.29548e-12,3.29674e-07,3.64127e-33,1.08401e-05,0.00535942
12,21297.5,78.5383,193.278,3.49318e-07,0.0229002,-0.0206894,0.000732872,0.378066,280.403,9.2259e-17,2.77906e-22,7.61927e-09,3.50861e-23,3.8e-14,1.49862e-14,4.70482e-13,5.2642e-07,4.40873e-11,6.39978e-13,3.22674e-17,8.52545e-18,6.20207e-12,3.29631e-07,3.32434e-31,1.12445e-05,0.00547562
13,18511.2,83.7908,191.863,3.49318e-07,0.0229903,-0.0242425,0.00144898,0.383728,263.71,3.24297e-16,8.72126e-22,2.0391e-08,8.96485e-24,8.88758e-15,9.91377e-16,3.7332e-14,5.25231e-07,2.59872e-10,8.01777e-12,1.16181e-17,2.85772e-17,1.23226e-11,3.28116e-07,2.33509e-29,1.15886e-05,0.00557893
14,16089.4,89.0443,191.136,3.49318e-07,0.0257126,-0.0246941,0.00230189,0.430389,242.696,7.15646e-16,1.70287e-21,3.38681e-08,8.69492e-24,7.4076e-15,6.35447e-16,3.32273e-15,5.23994e-07,4.80425e-10,2.04973e-11,1.64139e-17,8.69156e-17,2.09083e-11,3.26516e-07,1.25273e-27,1.19094e-05,0.00567277
15,13984.4,94.3198,191.25,3.49318e-07,0.0287791,-0.0291119,0.00329459,0.483374,221.339,1.37926e-15,2.8738e-21,4.83112e-08,1.1229e-23,7.82474e-15,6.09778e-16,4.84731e-16,5.22681e-07,7.10938e-10,3.7186e-11,2.55023e-17,2.06144e-16,3.16107e-11,3.24801e-07,5.00226e-26,1.22355e-05,0.00575988
