layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,114570,3.57225,284.86,0.00877575,0.13469,-0.279218,0.000536399,,,8.15691e-20,3.50901e-25,5.89459e-11,1.31717e-23,1.24967e-15,5.00822e-13,2.04774e-11,5.3e-07,1.16337e-13,1.01969e-14,7.06982e-21,3.33983e-25,8.08906e-15,3.3e-07,4.02763e-40,5.94072e-06,0.0017296
1,99581,10.66,278.391,0.00566672,0.123079,-0.219007,0.000589557,,,2.45008e-19,1.46196e-24,1.30642e-10,4.60644e-23,4.85084e-15,9.95732e-13,4.84823e-11,5.16426e-07,1.34988e-13,1.52875e-14,3.59257e-20,5.53956e-24,6.13263e-14,3.29927e-07,2.5499e-39,9.85801e-06,0.00240308
2,86552.8,17.6314,271.731,0.00345528,0.129142,-0.189043,0.00061739,,,7.65047e-19,5.18761e-24,3.11053e-10,8.97567e-23,1.06406e-14,1.39395e-12,5.65017e-11,5.03012e-07,1.92319e-13,2.41688e-14,1.47575e-19,8.37713e-23,1.56364e-13,3.29847e-07,1.54041e-38,1.30502e-05,0.0029771
3,75229.1,24.4798,264.824,0.0019483,0.132482,-0.214332,0.000633627,,,2.37113e-18,1.69391e-23,7.54515e-10,1.43975e-22,1.95251e-14,1.68453e-12,5.3475e-11,4.90627e-07,3.18302e-13,4.40864e-14,5.61774e-19,1.454e-21,3.70182e-13,3.29759e-07,9.9336e-38,1.56957e-05,0.00346275
4,65386.9,31.1926,257.319,0.00100032,0.133128,-0.273161,0.000667454,,,6.587e-18,4.78148e-23,1.68642e-09,1.9479e-22,3.11215e-14,1.74559e-12,4.09053e-11,4.80097e-07,5.91175e-13,8.81802e-14,1.92325e-18,2.70093e-20,8.45802e-13,3.29664e-07,6.77475e-37,1.7839e-05,0.00386895
5,56832.3,37.7513,249.162,0.000463403,0.126568,-0.299753,0.00074281,,,1.5456e-17,1.12529e-22,3.26798e-09,2.23707e-22,4.35953e-14,1.50344e-12,2.3755e-11,4.71936e-07,1.22455e-12,1.85156e-13,5.73625e-18,4.10357e-19,1.82707e-12,3.29561e-07,4.86854e-36,1.96388e-05,0.00420463
6,49397,44.138,240.532,0.000193523,0.11281,-0.276371,0.000861184,,,2.99739e-17,2.18433e-22,5.34785e-09,2.25841e-22,5.54815e-14,1.02907e-12,9.53749e-12,4.66176e-07,2.80622e-12,3.88295e-13,1.48366e-17,3.37534e-18,3.63998e-12,3.2945e-07,3.78014e-35,2.1245e-05,0.00449509
7,42934.4,50.3399,231.685,7.36102e-05,0.094096,-0.251827,0.000990277,,,4.82636e-17,3.51823e-22,7.38198e-09,2.06837e-22,6.58565e-14,5.35084e-13,2.44438e-12,4.62499e-07,6.85507e-12,7.72757e-13,3.27188e-17,1.4742e-17,6.4507e-12,3.29332e-07,3.49592e-34,2.27084e-05,0.00473824
8,37317.3,56.3506,222.864,2.59041e-05,0.0703956,-0.227949,0.00109421,,,6.65233e-17,4.85065e-22,8.81496e-09,1.64244e-22,6.92582e-14,2.08423e-13,4.23045e-13,4.60443e-07,1.67669e-11,1.39377e-12,5.43919e-17,3.85114e-17,9.49588e-12,3.29208e-07,5.42697e-33,2.4088e-05,0.00493962
9,32435.1,62.1685,214.227,8.5482e-06,0.0510395,-0.180876,0.00115922,,,8.26167e-17,6.07662e-22,9.52558e-09,9.64199e-23,5.47606e-14,5.88329e-14,6.30939e-14,4.5947e-07,3.78353e-11,2.1628e-12,5.14253e-17,4.87185e-17,1.03783e-11,3.29076e-07,1.5125e-31,2.57032e-05,0.00511846
10,28191.6,67.7958,205.858,2.66679e-06,0.0360434,-0.116344,0.0011996,,,9.74723e-17,7.25862e-22,9.79903e-09,3.99518e-23,3.095e-14,1.31608e-14,1.06345e-14,4.59023e-07,7.21939e-11,2.75335e-12,2.51374e-17,2.65475e-17,7.9916e-12,3.28937e-07,4.58624e-30,2.75067e-05,0.00527556
11,24503.3,73.2361,197.788,7.89255e-07,0.0268452,-0.0576285,0.00121902,,,1.12564e-16,8.48153e-22,9.9156e-09,1.63788e-23,1.74302e-14,3.42181e-15,2.45924e-15,4.58747e-07,1.15058e-10,2.89506e-12,1.07411e-17,1.05207e-17,5.28872e-12,3.28791e-07,1.20842e-28,2.9303e-05,0.00541058
12,21297.5,78.5029,190.678,3.49318e-07,0.0234533,-0.0247379,0.00122569,0.390264,294.734,1.30741e-16,9.83547e-22,9.9797e-09,1.05235e-23,1.49197e-14,1.55731e-15,1.36567e-15,4.58521e-07,1.61853e-10,2.72328e-12,8.6307e-18,6.96419e-18,4.63358e-12,3.28636e-07,2.74044e-27,3.10134e-05,0.00552828
13,18511.2,83.6406,186.098,3.49318e-07,0.0223923,-0.0214812,0.00158061,0.374993,292.561,1.81736e-16,1.26567e-21,1.10309e-08,3.45561e-24,5.19784e-15,4.84999e-17,1.33714e-16,4.52056e-07,1.64067e-09,2.19352e-11,3.06327e-18,1.71322e-17,1.22535e-11,3.23468e-07,5.50548e-26,3.2569e-05,0.0056328
14,16089.4,88.7038,183.132,3.49318e-07,0.0232243,-0.0241549,0.00184586,0.388612,286.89,2.52289e-16,1.6079e-21,1.19689e-08,3.22139e-24,4.8389e-15,2.21631e-17,9.2229e-17,4.4564e-07,3.14559e-09,3.47856e-11,2.30419e-18,1.75832e-17,1.5296e-11,3.1815e-07,9.65755e-25,3.39728e-05,0.00572753
15,13984.4,93.7212,180.738,3.49318e-07,0.024067,-0.0237519,0.00206126,0.403143,276.376,3.49204e-16,2.03068e-21,1.29294e-08,3.52469e-24,5.16776e-15,1.52391e-17,8.46329e-17,4.39159e-07,4.67799e-09,4.34909e-11,1.98311e-18,1.62596e-17,1.69185e-11,3.12653e-07,1.44617e-23,3.5231e-05,0.00581516
16,12154.8,98.7114,179.189,3.49318e-07,0.0249643,-0.0252554,0.00227063,0.419191,261.999,4.91794e-16,2.57792e-21,1.40118e-08,4.28928e-24,5.89715e-15,1.28988e-17,8.77233e-17,4.32501e-07,6.25221e-09,5.06801e-11,1.87651e-18,1.53462e-17,1.83895e-11,3.06907e-07,1.82662e-22,3.63536e-05,0.00589773
17,10564.6,103.693,178.178,3.49318e-07,0.0260429,-0.0259661,0.00249777,0.438977,243.174,7.04637e-16,3.30068e-21,1.53096e-08,5.56057e-24,6.99618e-15,1.23654e-17,9.74755e-17,4.256e-07,7.87749e-09,5.73895e-11,1.90048e-18,1.50219e-17,2.00457e-11,3.00867e-07,1.94174e-21,3.73539e-05,0.00597669
18,9182.44,108.682,177.741,3.49318e-07,0.0273338,-0.02745,0.00277375,0.463075,222.005,1.03436e-15,4.28503e-21,1.69362e-08,7.61818e-24,8.53116e-15,1.30551e-17,1.13337e-16,4.18381e-07,9.56649e-09,6.49732e-11,2.04619e-18,1.55677e-17,2.22863e-11,2.9447e-07,1.73923e-20,3.82472e-05,0.00605294
19,7981.1,113.691,177.75,3.49318e-07,0.0289423,-0.0289246,0.00312827,0.492476,199.716,1.55809e-15,5.66085e-21,1.90462e-08,1.08921e-23,1.06106e-14,1.48731e-17,1.3593e-16,4.10784e-07,1.13298e-08,7.43321e-11,2.32862e-18,1.7168e-17,2.53875e-11,2.8766e-07,1.31415e-19,3.90488e-05,0.00612696
20,6936.94,118.734,178.164,3.49318e-07,0.0309127,-0.0309702,0.00360552,0.528007,177.78,2.41811e-15,7.64545e-21,2.18709e-08,1.61803e-23,1.33984e-14,1.8129e-17,1.66633e-16,4.02741e-07,1.31783e-08,8.67805e-11,2.80405e-18,2.03601e-17,2.97906e-11,2.80373e-07,8.38953e-19,3.97741e-05,0.00619888
