layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,113980,3.43346,274.401,0.0042977,0.136139,-0.201688,0.000618886,,,5.92949e-18,8.6456e-24,5.42601e-09,9.55306e-23,1.26978e-14,1.19423e-12,6.10059e-11,5.3e-07,3.94272e-13,5.52512e-13,2.79775e-17,3.22742e-19,3.11525e-12,3.3e-07,7.41314e-63,1.6271e-06,0.00170011
1,99073.4,10.2327,267.092,0.00240848,0.121253,-0.169263,0.000698186,,,7.97523e-18,1.6331e-23,5.60816e-09,1.21378e-22,1.82132e-14,1.31108e-12,5.47806e-11,5.29618e-07,6.92581e-13,5.77707e-13,2.28587e-17,7.41992e-19,3.69547e-12,3.29981e-07,5.83972e-61,2.6562e-06,0.00235253
2,86116.1,16.8899,259.33,0.00122377,0.12105,-0.197132,0.000745384,,,1.05295e-17,2.51169e-23,5.8651e-09,1.31744e-22,2.29432e-14,1.19653e-12,4.13843e-11,5.29316e-07,1.29237e-12,6.97405e-13,2.19511e-17,2.63325e-18,4.27033e-12,3.29959e-07,5.31531e-59,3.51462e-06,0.00290703
3,74853.4,23.3893,250.952,0.000562215,0.115881,-0.237848,0.000773133,,,1.35781e-17,3.50701e-23,6.16877e-09,1.32821e-22,2.78834e-14,9.30876e-13,2.71889e-11,5.29088e-07,2.37364e-12,8.48913e-13,2.22311e-17,9.30075e-18,4.77891e-12,3.29937e-07,7.80841e-56,4.23026e-06,0.00337384
4,65063.8,29.7146,242.152,0.000233804,0.105766,-0.23133,0.000791106,,,1.70986e-17,4.64387e-23,6.48957e-09,1.24986e-22,3.27843e-14,6.234e-13,1.61128e-11,5.28925e-07,4.12735e-12,9.77409e-13,2.30132e-17,1.94325e-17,5.1295e-12,3.29912e-07,1.20461e-52,4.85737e-06,0.00377416
5,56554.4,35.8546,233.186,8.89993e-05,0.0902181,-0.203757,0.000797957,,,2.10915e-17,5.88748e-23,6.80951e-09,1.07203e-22,3.62081e-14,3.68084e-13,8.98038e-12,5.28812e-07,6.69149e-12,1.04718e-12,2.37978e-17,2.41676e-17,5.24817e-12,3.29886e-07,1.19293e-49,5.37711e-06,0.00411498
6,49158,41.804,224.281,3.14759e-05,0.0692535,-0.179777,0.000802162,,,2.56119e-17,7.23144e-23,7.12473e-09,8.34669e-23,3.71688e-14,2.00177e-13,4.88813e-12,5.28736e-07,1.0087e-11,1.0477e-12,2.41221e-17,2.2986e-17,5.13594e-12,3.29858e-07,1.01159e-46,5.79971e-06,0.00439981
7,42728.8,47.5621,215.58,1.04691e-05,0.0510836,-0.146747,0.000801002,,,3.07993e-17,8.80147e-23,7.43973e-09,5.9979e-23,3.58855e-14,1.04628e-13,2.67242e-12,5.28683e-07,1.42217e-11,9.85015e-13,2.40196e-17,1.92395e-17,4.8775e-12,3.29828e-07,7.74993e-44,6.22208e-06,0.00464494
8,37140.6,53.1312,207.156,3.29805e-06,0.0357157,-0.0950207,0.00080019,,,3.68783e-17,1.07066e-22,7.76106e-09,4.06766e-23,3.32297e-14,5.41754e-14,1.50783e-12,5.28644e-07,1.89395e-11,8.77461e-13,2.4058e-17,1.52703e-17,4.60417e-12,3.29797e-07,4.33094e-41,6.68638e-06,0.00485831
9,32283.1,58.5152,199.036,9.8697e-07,0.0262686,-0.0385125,0.000795524,,,4.39373e-17,1.28983e-22,8.09431e-09,2.69589e-23,3.05224e-14,2.87518e-14,9.23697e-13,5.28611e-07,2.40767e-11,7.47736e-13,2.54717e-17,1.22922e-17,4.45355e-12,3.29763e-07,1.6603e-38,7.12466e-06,0.00503887
10,28061,63.7542,193.875,4.40958e-07,0.0227386,-0.0211275,0.000783294,0.377181,300.988,5.54367e-17,1.5752e-22,8.44582e-09,2.20689e-23,2.98128e-14,1.87944e-14,6.83219e-13,5.28581e-07,2.94714e-11,6.73729e-13,2.70964e-17,1.08627e-17,4.5529e-12,3.29728e-07,4.26435e-36,7.54045e-06,0.00519258
