layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,113980,3.43346,274.401,0.0042977,0.135982,-0.201485,0.000622527,,,7.62584e-18,6.68522e-24,7.19171e-09,8.3135e-23,1.10502e-14,1.04317e-12,4.97725e-11,5.3e-07,3.43585e-13,6.15001e-13,4.00192e-17,5.13917e-19,3.47131e-12,3.3e-07,9.29033e-75,9.49257e-07,0.00168436
1,99073.4,10.2327,267.092,0.00240848,0.120993,-0.16919,0.000701953,,,1.01675e-17,1.23771e-23,7.41541e-09,1.02774e-22,1.542e-14,1.13705e-12,4.5018e-11,5.29675e-07,6.22313e-13,6.54741e-13,3.14184e-17,1.15633e-18,4.16004e-12,3.29978e-07,3.49896e-70,1.52248e-06,0.00232826
2,86116.1,16.8899,259.33,0.00122377,0.120585,-0.196672,0.0007491,,,1.33101e-17,1.87135e-23,7.72536e-09,1.09448e-22,1.90567e-14,1.03623e-12,3.45426e-11,5.29418e-07,1.18257e-12,8.00039e-13,2.88431e-17,3.99416e-18,4.90111e-12,3.29955e-07,5.80277e-66,1.98803e-06,0.00287543
3,74853.4,23.3893,250.952,0.000562215,0.114551,-0.236159,0.00077669,,,1.70436e-17,2.57101e-23,8.0967e-09,1.08757e-22,2.2826e-14,8.10707e-13,2.32685e-11,5.29222e-07,2.19885e-12,9.87531e-13,2.78802e-17,1.40431e-17,5.65486e-12,3.2993e-07,5.82234e-62,2.36278e-06,0.00333596
4,65063.8,29.7146,242.152,0.000233804,0.102911,-0.226938,0.000794587,,,2.13674e-17,3.36133e-23,8.50226e-09,1.01627e-22,2.66499e-14,5.50382e-13,1.42735e-11,5.29077e-07,3.85902e-12,1.15763e-12,2.78346e-17,3.00959e-17,6.35749e-12,3.29902e-07,5.64434e-58,2.68358e-06,0.0037309
5,56554.4,35.8546,233.186,8.89993e-05,0.0849033,-0.190077,0.000801564,,,2.63125e-17,4.21393e-23,8.9241e-09,8.72161e-23,2.94491e-14,3.31108e-13,8.31945e-12,5.28974e-07,6.30582e-12,1.26566e-12,2.87632e-17,3.94335e-17,6.96571e-12,3.29873e-07,4.54458e-54,2.9367e-06,0.00406712
6,49158,41.804,224.281,3.14759e-05,0.0605417,-0.141856,0.000806002,,,3.19685e-17,5.12423e-23,9.35642e-09,6.85292e-23,3.05085e-14,1.84559e-13,4.83495e-12,5.28899e-07,9.56749e-12,1.2909e-12,3.08567e-17,4.13695e-17,7.51766e-12,3.29842e-07,2.04215e-50,3.12945e-06,0.00434804
7,42728.8,47.5621,215.58,1.04691e-05,0.0429102,-0.073013,0.000805197,,,3.8514e-17,6.19952e-23,9.80139e-09,5.10006e-23,3.05068e-14,1.0145e-13,2.99675e-12,5.28843e-07,1.3544e-11,1.23343e-12,3.52778e-17,4.16741e-17,8.15531e-12,3.29809e-07,5.63412e-47,3.32666e-06,0.00458974
8,37140.6,53.148,208.424,5.03156e-06,0.0320133,-0.032479,0.000801914,0.533897,223.5,4.74852e-17,7.60732e-23,1.02649e-08,4.21434e-23,3.21384e-14,6.3923e-14,2.22941e-12,5.28797e-07,1.80149e-11,1.1556e-12,4.44536e-17,4.6428e-17,9.10138e-12,3.29774e-07,9.12754e-44,3.55983e-06,0.00480005
9,32283.1,58.6124,203.797,5e-06,0.0282843,-0.0279495,0.00143055,0.473898,213.871,1.48413e-16,2.24913e-22,2.56688e-08,6.24291e-24,5.33274e-15,1.84476e-15,2.12527e-13,5.27545e-07,1.51084e-10,1.70633e-11,4.63411e-17,5.43538e-16,4.05354e-11,3.28587e-07,9.17935e-41,3.78199e-06,0.00497814
