layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,114570,3.57225,284.86,0.00877575,0.135032,-0.278625,0.000594807,,,3.42997e-18,1.85807e-23,2.42005e-09,3.21735e-22,3.05247e-14,2.46753e-12,2.20216e-10,5.3e-07,5.59133e-13,5.45604e-13,4.04283e-17,1.0235e-19,1.07114e-11,3.3e-07,6.03823e-34,7.66206e-06,0.00174584
1,99581,10.66,278.391,0.00566672,0.123465,-0.219546,0.00068577,,,5.10423e-18,3.90401e-23,2.62757e-09,4.86104e-22,5.0047e-14,3.00036e-12,2.00167e-10,5.28209e-07,9.16732e-13,6.08416e-13,5.80814e-17,3.57954e-19,1.29532e-11,3.29994e-07,1.05314e-32,1.30886e-05,0.0024271
2,86552.8,17.6314,271.731,0.00345528,0.129582,-0.190173,0.000756168,,,7.75594e-18,6.9047e-23,3.01089e-09,6.18767e-22,7.00576e-14,3.10315e-12,1.53484e-10,5.26675e-07,1.63873e-12,8.0221e-13,8.25642e-17,1.57633e-18,1.54579e-11,3.29988e-07,1.47964e-31,1.79445e-05,0.00300845
3,75229.1,24.4798,264.824,0.0019483,0.13295,-0.215488,0.000813508,,,1.17329e-17,1.13304e-22,3.52524e-09,7.24825e-22,9.17839e-14,2.78234e-12,1.00102e-10,5.25436e-07,3.02478e-12,1.10348e-12,1.13898e-16,7.65795e-18,1.80898e-11,3.29981e-07,1.78057e-30,2.24706e-05,0.00350107
4,65386.9,31.1926,257.319,0.00100032,0.133577,-0.273962,0.000867881,,,1.70809e-17,1.73284e-22,4.08329e-09,7.87046e-22,1.15101e-13,2.09983e-12,5.54716e-11,5.245e-07,5.64175e-12,1.47786e-12,1.50827e-16,3.70075e-17,2.04482e-11,3.29974e-07,1.85543e-29,2.67006e-05,0.00391391
5,56832.3,37.7513,249.162,0.000463403,0.126902,-0.30019,0.000919425,,,2.34863e-17,2.47243e-22,4.58764e-09,7.73019e-22,1.35721e-13,1.31231e-12,2.67493e-11,5.23849e-07,1.0311e-11,1.8462e-12,1.84608e-16,1.21574e-16,2.18921e-11,3.29966e-07,1.64804e-28,3.07372e-05,0.00425578
6,49397,44.138,240.532,0.000193523,0.112927,-0.27678,0.00096369,,,3.04993e-17,3.31547e-22,4.98004e-09,6.6161e-22,1.44772e-13,6.96229e-13,1.19094e-11,5.2344e-07,1.77838e-11,2.10475e-12,1.98068e-16,2.0003e-16,2.18276e-11,3.29958e-07,1.22274e-27,3.46282e-05,0.00455195
7,42934.4,50.3399,231.685,7.36102e-05,0.0939814,-0.252569,0.000995881,,,3.78585e-17,4.22799e-22,5.26006e-09,4.84862e-22,1.36499e-13,3.28372e-13,5.21799e-12,5.23204e-07,2.81993e-11,2.18976e-12,1.81315e-16,1.93845e-16,2.01788e-11,3.29949e-07,7.50869e-27,3.82983e-05,0.00480009
8,37317.3,56.3506,222.864,2.59041e-05,0.0700776,-0.229026,0.00102057,,,4.56026e-17,5.20393e-22,5.461e-09,3.0705e-22,1.14012e-13,1.42876e-13,2.34266e-12,5.23074e-07,4.09639e-11,2.09667e-12,1.4335e-16,1.38003e-16,1.75006e-11,3.29939e-07,3.84507e-26,4.17139e-05,0.00500567
9,32435.1,62.1685,214.227,8.5482e-06,0.0505995,-0.181985,0.00104118,,,5.4117e-17,6.31526e-22,5.61917e-09,1.74579e-22,8.71709e-14,5.96187e-14,1.09383e-12,5.22998e-07,5.51647e-11,1.87001e-12,1.03368e-16,8.23246e-17,1.46037e-11,3.29929e-07,1.68466e-25,4.52831e-05,0.00518811
