layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,114570,3.57225,284.86,0.00877575,0.140565,-0.27748,0.000604203,,,4.53778e-18,7.79551e-24,3.46346e-09,1.64717e-22,1.56276e-14,1.67168e-12,1.41774e-10,5.3e-07,3.48682e-13,3.96196e-13,2.01257e-17,3.69698e-20,4.37667e-12,3.3e-07,1.87334e-59,2.24617e-06,0.00173916
1,99581,10.66,278.391,0.00566672,0.128313,-0.21878,0.000681611,,,6.32773e-18,1.51489e-23,3.63295e-09,2.37609e-22,2.44186e-14,2.02029e-12,1.3295e-10,5.29174e-07,5.6873e-13,4.11708e-13,1.99612e-17,8.31562e-20,5.23242e-12,3.29979e-07,9.58661e-58,3.6733e-06,0.00241214
2,86552.8,17.6314,271.731,0.00345528,0.135153,-0.189604,0.000729067,,,8.82821e-18,2.42694e-23,3.91226e-09,2.88348e-22,3.2536e-14,2.09119e-12,1.0767e-10,5.28478e-07,9.98403e-13,5.0627e-13,2.27068e-17,2.73015e-19,6.10749e-12,3.29955e-07,3.27036e-56,4.85415e-06,0.00298603
3,75229.1,24.4798,264.824,0.0019483,0.139384,-0.214875,0.000751875,,,1.22375e-17,3.5915e-23,4.27777e-09,3.22592e-22,4.06578e-14,1.90771e-12,7.63983e-11,5.27921e-07,1.77427e-12,6.51097e-13,2.65107e-17,1.0504e-18,6.94617e-12,3.2993e-07,2.5559e-54,5.86974e-06,0.00347186
4,65386.9,31.1926,257.319,0.00100032,0.141018,-0.273118,0.000762413,,,1.65853e-17,4.99457e-23,4.68874e-09,3.36203e-22,4.88892e-14,1.51224e-12,4.79959e-11,5.27498e-07,3.08521e-12,8.13305e-13,3.05319e-17,4.25182e-18,7.63821e-12,3.29902e-07,2.14065e-51,6.70217e-06,0.00387842
5,56832.3,37.7513,249.162,0.000463403,0.134666,-0.298951,0.000766914,,,2.17737e-17,6.61551e-23,5.10316e-09,3.22586e-22,5.62797e-14,1.03543e-12,2.72785e-11,5.27196e-07,5.14025e-12,9.51631e-13,3.40235e-17,1.30888e-17,8.04828e-12,3.29872e-07,1.48091e-48,7.39356e-06,0.00421445
6,49397,44.138,240.532,0.000193523,0.120337,-0.274874,0.000767531,,,2.76857e-17,8.42555e-23,5.49539e-09,2.79585e-22,6.07702e-14,6.23269e-13,1.45369e-11,5.26992e-07,8.08864e-12,1.02909e-12,3.59807e-17,2.21942e-17,8.08081e-12,3.29839e-07,7.58985e-46,7.97477e-06,0.00450534
7,42934.4,50.3399,231.685,7.36102e-05,0.100375,-0.249392,0.000763062,,,3.43017e-17,1.03629e-22,5.86143e-09,2.18206e-22,6.10119e-14,3.42859e-13,7.54331e-12,5.2686e-07,1.19296e-11,1.03575e-12,3.5865e-17,2.37469e-17,7.7487e-12,3.29805e-07,3.59974e-43,8.42395e-06,0.00474867
8,37317.3,56.3506,222.864,2.59041e-05,0.0747914,-0.223408,0.000758455,,,4.17395e-17,1.24233e-22,6.21067e-09,1.56099e-22,5.75739e-14,1.7968e-13,3.91917e-12,5.26773e-07,1.65276e-11,9.80539e-13,3.41416e-17,2.01545e-17,7.17206e-12,3.29768e-07,1.47852e-40,8.75629e-06,0.00494993
9,32435.1,62.1685,214.227,8.5482e-06,0.0539021,-0.172842,0.000753256,,,5.03137e-17,1.48758e-22,6.55557e-09,1.05032e-22,5.21184e-14,9.26928e-14,2.07606e-12,5.26712e-07,2.16894e-11,8.79789e-13,3.19173e-17,1.53443e-17,6.5186e-12,3.29728e-07,4.47854e-38,9.14296e-06,0.00512839
10,28191.6,67.7958,205.858,2.66679e-06,0.037712,-0.103478,0.000750631,,,6.03751e-17,1.77734e-22,6.90633e-09,6.7825e-23,4.60358e-14,4.79836e-14,1.14305e-12,5.26666e-07,2.72283e-11,7.54963e-13,3.0218e-17,1.12165e-17,5.9477e-12,3.29687e-07,9.64397e-36,9.55632e-06,0.00528502
11,24503.3,73.2361,197.788,7.89255e-07,0.0279338,-0.0339219,0.000746266,,,7.21165e-17,2.11271e-22,7.27004e-09,4.32882e-23,4.07986e-14,2.55789e-14,6.83445e-13,5.26626e-07,3.29983e-11,6.24574e-13,3.03256e-17,8.36306e-18,5.5873e-12,3.29642e-07,1.4458e-33,9.95545e-06,0.00541966
12,21297.5,78.5459,193.832,3.49318e-07,0.0245633,-0.0213002,0.000735749,0.405242,276.986,9.37625e-17,2.57257e-22,7.65497e-09,3.72482e-23,3.89902e-14,1.78533e-14,4.90501e-13,5.26588e-07,3.88776e-11,5.73341e-13,2.88721e-17,6.84525e-18,5.53942e-12,3.29595e-07,1.496e-31,1.03157e-05,0.00553718
13,18511.2,83.8197,192.868,3.49318e-07,0.0246075,-0.0264926,0.00145958,0.410328,259.383,3.43084e-16,8.34475e-22,2.11207e-08,9.73545e-24,9.11044e-15,1.22442e-15,3.88641e-14,5.25362e-07,2.29294e-10,7.50858e-12,1.17208e-17,2.70374e-17,1.19936e-11,3.27917e-07,1.18071e-29,1.06208e-05,0.00564166
14,16089.4,89.1028,192.268,3.49318e-07,0.0274705,-0.0258722,0.00232157,0.459349,237.359,7.64563e-16,1.6415e-21,3.53377e-08,9.47786e-24,7.61115e-15,7.95943e-16,3.45721e-15,5.24085e-07,4.23451e-10,1.94078e-11,1.75333e-17,8.78786e-17,2.07621e-11,3.26142e-07,7.01985e-28,1.09047e-05,0.00573658
15,13984.4,94.413,192.603,3.49318e-07,0.0307054,-0.0312593,0.00332949,0.515236,215.723,1.48688e-15,2.78461e-21,5.06236e-08,1.2335e-23,8.04786e-15,7.73909e-16,5.05773e-16,5.22726e-07,6.26288e-10,3.56162e-11,2.83196e-17,2.18663e-16,3.16845e-11,3.24234e-07,3.04408e-26,1.11938e-05,0.0058247
16,12154.8,99.764,192.974,3.49318e-07,0.0343035,-0.0337184,0.00447444,0.577507,193.535,2.67e-15,4.37429e-21,6.70502e-08,1.73556e-23,9.22927e-15,8.53916e-16,2.58717e-16,5.2128e-07,8.39687e-10,5.49064e-11,4.31198e-17,4.32222e-16,4.44106e-11,3.22186e-07,9.47381e-25,1.15058e-05,0.00590801
17,10564.6,105.16,193.602,3.49318e-07,0.0383877,-0.038548,0.00577122,0.648172,172.482,4.59923e-15,6.59015e-21,8.48196e-08,2.56369e-23,1.10216e-14,1.01035e-15,2.59147e-16,5.19731e-07,1.06574e-09,7.72777e-11,6.28237e-17,7.44646e-16,5.89089e-11,3.19976e-07,2.12869e-23,1.18516e-05,0.00598791
18,9182.44,110.606,194.201,3.49318e-07,0.042957,-0.0426941,0.0072189,0.727185,152.745,7.66754e-15,9.65051e-21,1.0406e-07,3.85848e-23,1.3518e-14,1.23985e-15,2.96876e-16,5.18075e-07,1.30609e-09,1.01795e-10,8.73334e-17,1.14509e-15,7.50478e-11,3.17594e-07,3.52065e-22,1.22384e-05,0.00606522
19,7981.1,116.101,194.841,3.49318e-07,0.0480823,-0.0481334,0.00883375,0.814884,135.352,1.2512e-14,1.38752e-20,1.24984e-07,5.89176e-23,1.68788e-14,1.56197e-15,3.54144e-16,5.16302e-07,1.56222e-09,1.28351e-10,1.17606e-16,1.629e-15,9.28193e-11,3.15023e-07,4.39309e-21,1.26704e-05,0.00614039
20,6936.94,121.646,195.421,3.49318e-07,0.0537727,-0.0536356,0.0106248,0.911459,119.96,2.00562e-14,1.96823e-20,1.47808e-07,9.05173e-23,2.13709e-14,2.0015e-15,4.33611e-16,5.14406e-07,1.83554e-09,1.56263e-10,1.53737e-16,2.16864e-15,1.12153e-10,3.12253e-07,4.24242e-20,1.31505e-05,0.00621351
21,6029.38,127.241,195.955,3.49318e-07,0.0600392,-0.0600527,0.0126146,1.01634,106.77,3.17285e-14,2.76604e-20,1.72837e-07,1.39736e-22,2.73536e-14,2.60004e-15,5.4145e-16,5.12377e-07,2.12734e-09,1.85326e-10,1.96595e-16,2.74502e-15,1.33043e-10,3.09267e-07,3.24893e-19,1.36806e-05,0.00628449
22,5240.56,132.884,196.396,3.49318e-07,0.066904,-0.0668269,0.0148253,1.13001,95.6375,4.96363e-14,3.8604e-20,2.00428e-07,2.16141e-22,3.53395e-14,3.41279e-15,6.87705e-16,5.10211e-07,2.43879e-09,2.15008e-10,2.46535e-16,3.32704e-15,1.55471e-10,3.06053e-07,2.0183e-18,1.42624e-05,0.00635308
23,4554.93,138.572,196.768,3.49318e-07,0.0744094,-0.0744118,0.017297,1.25313,86.5801,7.70325e-14,5.36386e-20,2.31071e-07,3.35343e-22,4.60192e-14,4.52495e-15,8.86119e-16,5.07899e-07,2.77066e-09,2.45298e-10,3.05139e-16,3.90488e-15,1.79521e-10,3.02594e-07,1.0385e-17,1.48978e-05,0.00641901
24,3959.01,144.305,197.079,3.49318e-07,0.0826072,-0.082564,0.0200814,1.38677,79.0013,1.18875e-13,7.43424e-20,2.65381e-07,5.22429e-22,6.03505e-14,6.06013e-15,1.15642e-15,5.05435e-07,3.12344e-09,2.76222e-10,3.74533e-16,4.47526e-15,2.05343e-10,2.98878e-07,4.51151e-17,1.55893e-05,0.00648198
25,3441.06,150.083,197.378,3.49318e-07,0.091689,-0.0916871,0.0232565,1.53462,72.6161,1.82963e-13,1.02999e-19,3.04187e-07,8.19873e-22,7.96347e-14,8.20923e-15,1.52584e-15,5.0281e-07,3.49722e-09,3.08346e-10,4.58858e-16,5.05986e-15,2.33217e-10,2.94885e-07,1.68414e-16,1.63408e-05,0.00654175
26,2990.86,155.905,197.699,3.49318e-07,0.101758,-0.101736,0.0269249,1.6987,67.1289,2.81585e-13,1.42923e-19,3.48556e-07,1.30068e-21,1.05662e-13,1.12631e-14,2.03287e-15,5.00016e-07,3.89179e-09,3.42441e-10,5.64055e-16,5.69091e-15,2.63503e-10,2.90595e-07,5.49062e-16,1.71575e-05,0.0065981
