layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,114570,3.57274,284.86,0.0087757,0.135288,-0.293505,0.000473924,,,2.79644e-30,1e-30,2.19318e-21,1e-30,7.31393e-28,2.97718e-21,2.03284e-27,5.3e-07,7.66545e-17,5.7726e-26,1e-30,1e-30,1e-30,3.3e-07,0,1.52439e-11,0.000985958
1,99581,10.6614,278.391,0.0056666,0.123644,-0.23147,0.000504507,,,3.66546e-30,1e-30,2.23016e-21,1e-30,8.65234e-28,2.97718e-21,2.11488e-27,5.3e-07,7.66545e-17,3.94516e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.2679e-11,0.00131518
2,86552.8,17.6338,271.73,0.00345512,0.129663,-0.199553,0.000512063,,,4.71252e-30,1e-30,2.26325e-21,1e-30,1.0373e-27,2.97718e-21,2.13261e-27,5.3e-07,7.66545e-17,2.9649e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.84747e-11,0.00159314
3,75229.1,24.4832,264.823,0.00194814,0.132877,-0.227164,0.000499656,,,5.95335e-30,1e-30,2.29291e-21,1e-30,1.26407e-27,2.97718e-21,2.11569e-27,5.3e-07,7.66545e-17,2.36464e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.28194e-11,0.00182575
4,65386.9,31.1969,257.317,0.00100019,0.133298,-0.283166,0.000477739,,,7.3582e-30,1e-30,2.31946e-21,1e-30,1.58604e-27,2.97718e-21,2.08357e-27,5.3e-07,7.66545e-17,1.96897e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.57954e-11,0.00201777
5,56832.3,37.7565,249.16,0.00046331,0.12636,-0.308983,0.000452423,,,8.89354e-30,1e-30,2.34314e-21,1e-30,2.0613e-27,2.97718e-21,2.04841e-27,5.3e-07,7.66545e-17,1.69509e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.75115e-11,0.00217406
6,49397,44.144,240.529,0.000193468,0.112073,-0.282985,0.000426726,,,1.05427e-29,1e-30,2.36415e-21,1e-30,2.77332e-27,2.97718e-21,2.01753e-27,5.3e-07,7.66545e-17,1.48777e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.81335e-11,0.00231492
7,42934.4,50.3468,231.682,7.35828e-05,0.0930012,-0.256688,0.000400675,,,1.23125e-29,1e-30,2.3827e-21,1e-30,3.84641e-27,2.97718e-21,1.99514e-27,5.3e-07,7.66545e-17,1.33005e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.78645e-11,0.00243472
8,37317.3,56.3582,222.86,2.58919e-05,0.0691559,-0.237851,0.000378909,,,1.42305e-29,1e-30,2.399e-21,1e-30,5.46973e-27,2.97717e-21,1.9837e-27,5.3e-07,7.66545e-17,1.20643e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.69115e-11,0.00253524
9,32435.1,62.1769,214.223,8.54331e-06,0.0498088,-0.198741,0.000356549,,,1.63324e-29,1e-30,2.41328e-21,1e-30,7.94148e-27,2.97717e-21,1.98472e-27,5.3e-07,7.66545e-17,1.10502e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.67428e-11,0.00262309
