key,sweep,scenario,planet,dry_pressure_pa,co2_ppm,humidity,stratosphere_k,surface_albedo,ts_k,surface_pressure_pa,olr,asr,albedo,net_toa,surface_down_lw,surface_up_lw,surface_sw,atmosphere_sw,sw_longward_of_grid,water_column_kg_m2,air_column_kg_m2,tropopause_pa,tropopause_height_km,stratospheric_h2o,seconds
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=260,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,260.0,101475.76728898559,204.09798590677008,281.27350664675095,0.17333964676723856,77.17552073998087,151.82333290831022,259.1089438147328,251.3858403203854,29.887666326365547,1.8484741163702294,1.3674456137400872,10354.270451508484,38615.529843064556,6.492321205178767,1.19285187264001e-06,85.7
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=270,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,270.0,101686.94764573182,227.46564099128196,282.597795660029,0.16944757304671715,55.13215466874706,196.76846675778543,301.32071748151236,243.82006415771713,38.777731502311894,1.8484741163702294,3.8271401707550896,10376.55414897751,31827.95924227201,8.006035632620618,1.1761252261916815e-06,79.9
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=280,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,280.0,102088.65437462316,251.63919106642282,284.1201931661494,0.16497326021443642,32.481002099726595,248.48210557772606,348.48447419290636,234.99228572642545,49.12790743972397,1.8484741163702294,9.88581162920083,10418.45338842975,25230.151599797184,9.899020347293582,1.1501878326823504e-06,74.9
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=290,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,290.0,102803.30544003293,276.71910311024266,285.7791771755318,0.16009752085471812,9.060074065289143,313.8602091368169,400.9687230215511,225.00112902131565,60.77804815421615,1.8484741163702294,23.478897661628757,10492.512711266689,18736.31725380741,12.41267601682043,1.106386532937921e-06,74.3
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=300,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,300.0,104048.27254160879,302.80649665739946,287.56910658529654,0.15483693411913152,-15.237390072102926,401.00613949029434,459.1529956907947,213.72441834444163,73.84468824085491,1.8484741163702294,52.569663530254765,10620.974268192853,12379.622244888373,16.012429870352587,1.0214890607554301e-06,91.4
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=310,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,310.0,106123.02680262153,331.02354326080604,289.4102203330052,0.14942591706613204,-41.61332292780082,497.6163868308958,523.4270438748114,201.4705011742347,87.93971915877052,1.8484741163702294,109.25882246143455,10834.366073102843,6792.831577462675,21.30779371501458,8.277254948042446e-07,98.3
earth_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=320,earthlike_humidity,earth_1.0atm,earth,101325.0,400.0,manabe_wetherald,200.0,0.13,320.0,109445.71597790459,364.2714456932259,291.1694401725449,0.1442555854863634,-73.10200552068102,585.8155822268577,594.1899045167534,188.42906326698963,102.74037690555528,1.8484741163702294,209.23291701491542,11175.27180188393,2786.8624934029144,29.15145552840207,2.5046367839006035e-07,99.3
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=260,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,260.0,101475.76728898559,182.00417023296902,243.52513072012542,0.28428179041056983,61.5209604871564,186.82916175089832,259.1089438147328,190.05833482178247,53.46679589834295,1.8484741163702294,8.324209568117267,65483.88817248772,38615.529843064556,40.1190005779067,1.19285187264001e-06,77.2
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=270,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,270.0,101686.94764573182,199.74014029261215,245.33325108108443,0.27896774062999485,45.59311078847227,233.47693031969624,301.32071748151236,179.3825716634418,65.95067941764262,1.8484741163702294,23.322343194167185,65728.92351760705,31827.95924227201,49.728585608232,1.1761252261916815e-06,72.8
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=280,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,280.0,102088.65437462316,216.91994598278285,247.3396429121433,0.2730709727489392,30.41969692936044,296.8515749504336,348.48447419290636,167.41252438089379,79.9271185312495,1.8484741163702294,60.35275503029923,66124.0626693043,25230.151599797184,61.886580386393334,1.1501878326823504e-06,74.4
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=290,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,290.0,102803.30544003293,233.14181522053795,249.52773067208895,0.26664020213671574,16.385915451551,376.1509132990871,400.9687230215511,154.50021225443044,95.02751841765851,1.8484741163702294,143.71617026861065,66757.35375206379,18736.31725380741,78.2775119084651,1.106386532937921e-06,78.4
