case,equilibrium,latitude_deg,surface,wind_m_s,stable_tail,background_k_m2_s,relaxation_days,vapour_relaxation_days,surface_resistance_s_m,day_length_days,ground_max_k,ground_min_k,ground_mean_k,air_max_k,air_min_k,air_mean_k,air_300m_max_k,air_300m_min_k,air_300m_mean_k,column_mean_max_k,column_mean_min_k,column_mean_mean_k,ground_range_k,air_range_k,max_mixed_layer_m,night_hours_saturated,night_dew_kg_m2,mean_sensible_w_m2,mean_latent_w_m2,mean_olr_w_m2,ocean_heat_w_m2,ground_drift_k
moon_titania_equator_land,moon_1.2atm_titania_stack,0.0,land,5.0,short,1.0,0.5,20.0,100.0,29.530589999999997,296.91546383471695,280.14188406113874,287.6717454618422,294.3571664321173,280.7431822950002,287.3763980222636,293.87399155096335,281.22771305161257,287.55074711581733,239.02557277923904,238.0574342955739,238.4428778819693,16.773579773578206,13.613984137117086,12021.489005907044,0.0,1.1740775197429556,51.604329639082195,78.99780553941093,213.80378052238004,0.0,-4.115100239232561e-06
moon_titania_equator_sea,moon_1.2atm_titania_stack,0.0,sea,5.0,short,1.0,0.5,20.0,0.0,29.530589999999997,288.6835856642203,287.32040968758673,288.0002096734816,288.91559625783043,287.22342501683926,287.99399143799127,288.49522209437583,286.75225592598537,287.53843845002365,238.4587631312016,238.23732119290815,238.3260408130182,1.3631759766335563,1.692171240991172,3113.1833479116376,0.0,0.0,0.31288241407998724,12.692100417279176,213.40425898958546,-146.81259828228113,0.0006787519102431361
moon_titania_lat60_land,moon_1.2atm_titania_stack,60.0,land,5.0,short,1.0,0.5,20.0,100.0,29.530589999999997,292.8007212980752,279.6147869070279,285.5629053002881,292.3486164582919,280.2593467265082,285.8046871580118,291.8687394189944,280.797379199486,286.01531454886236,238.6953011422419,238.04289713244148,238.29963358718666,13.185934391047283,12.089269731783645,9270.938254110275,0.0,1.56553098062385,10.698352131662228,34.44906768036403,212.334219873883,0.0,0.0038830118661508095
moon_titania_lat60_sea,moon_1.2atm_titania_stack,60.0,sea,5.0,short,1.0,0.5,20.0,0.0,29.530589999999997,288.2792414358407,287.72059219098185,287.9997655262375,288.188288802695,287.520416707633,287.8378739487025,287.71524156428256,287.048565241133,287.3654309424348,238.36595239093614,238.24733092802708,238.2948718105731,0.5586492448588274,0.6678720950620232,3113.1833479116376,0.0,0.0,1.6904932322992456,15.285347184234539,213.3026954431667,-30.351678813137696,-0.00014401156772692048
moon_titania_lat80_land,moon_1.2atm_titania_stack,80.0,land,5.0,short,1.0,0.5,20.0,100.0,29.530589999999997,283.3872704586494,276.20699799319914,279.40544604040366,283.35321004690854,276.96146795252935,279.82519922509476,282.8881111083671,277.69448840478543,280.08653143027465,238.07169904260311,237.90836577114766,237.98301915919816,7.180272465450287,6.391742094379197,3113.1833479116376,0.0,2.0813872083743483,-1.5745034559454245,1.4901816825457563,208.35779548097017,0.0,-0.005920841439319702
moon_edge200_equator_land,moon_1.2atm_edge_200nm,0.0,land,5.0,short,1.0,0.5,20.0,100.0,29.530589999999997,296.99688428004123,280.27827416397895,287.7511030443872,294.38919936662194,280.8620204450927,287.43955109186317,293.90597186141525,281.32122701055977,287.6033393005103,243.86359054088666,242.873259729657,243.2657208663974,16.71861011606228,13.527178921529242,12021.489005907044,0.0,1.1149183727169492,52.3546393927251,79.64842892951516,218.61880379717564,0.0,-2.7358653937881172e-06
moon_titania_equator_land_calm,moon_1.2atm_titania_stack,0.0,land,2.0,short,1.0,0.5,20.0,100.0,29.530589999999997,298.03604710763574,279.90554196459306,287.95174021573575,294.47365626991365,280.57125682437606,287.37919711750044,293.99029054174355,281.0966981290186,287.5673545470665,239.04652110105513,238.05415818946395,238.44861261060427,18.130505143042683,13.902399445537583,12021.489005907044,0.0,1.2333778769037393,53.75476090666294,82.58078539677068,213.9605789441458,0.0,-3.120771907560993e-08
moon_titania_equator_land_windy,moon_1.2atm_titania_stack,0.0,land,8.0,short,1.0,0.5,20.0,100.0,29.530589999999997,296.21807249827754,280.3682164073482,287.531917581431,294.20387401184394,280.9298513275416,287.3842019931869,293.7209511474514,281.36644671741266,287.5374615776825,239.01036300978384,238.06059866022414,238.43720523985507,15.849856090929336,13.274022684302338,12021.489005907044,0.0,1.0709294809022027,48.620616730431045,76.19408958366415,213.72159207782786,0.0,-0.012813186207836225
moon_titania_equator_land_long_tail,moon_1.2atm_titania_stack,0.0,land,5.0,long,1.0,0.5,20.0,100.0,29.530589999999997,296.9154845027741,280.1429118415224,287.6722823572151,294.3571784008684,280.7440867357636,287.3769019062768,293.87400350005964,281.22843713966677,287.55114494914307,239.02557435980023,238.05745579695642,238.44289025928956,16.77257266125173,13.613091665104832,12021.489005907044,0.0,1.1738788091118548,51.604553900695265,78.99941675754839,213.80408683938344,0.0,-7.3804944236144365e-06
moon_titania_equator_land_weak_mixing,moon_1.2atm_titania_stack,0.0,land,5.0,short,0.1,0.5,20.0,100.0,29.530589999999997,296.909185907266,278.5883343758685,287.12011457660765,294.35481795401364,278.8562543976094,286.58084853781236,293.87164693139147,281.0625713153657,287.73955481670845,239.0252369100063,238.076598225475,238.45504150188785,18.320851531397523,15.498563556404235,12021.489005907044,156.5,0.7101956628121597,52.92824157510883,78.55800153392057,213.59569771997508,0.0,-9.257602528123243e-06
moon_titania_equator_land_dry_soil,moon_1.2atm_titania_stack,0.0,land,5.0,short,1.0,0.5,20.0,500.0,29.530589999999997,298.4334003346229,280.1102092518951,288.1834916643769,294.55486475695943,280.69933399700767,287.4693268772717,294.0713651070519,281.1684050899571,287.6302091354622,239.0126205416621,238.053439892568,238.43748324555216,18.32319108272776,13.855530759951762,12021.489005907044,0.0,0.9957131576653329,86.63602218470636,24.21535708162122,214.26453034764165,0.0,0.020893706150161506
moon_titania_equator_land_arid,moon_1.2atm_titania_stack,0.0,land,5.0,short,1.0,0.5,20.0,10000.0,29.530589999999997,298.8159411127299,279.6440110157308,288.22772963765533,294.4696975793112,280.2369023125793,287.40157730782744,293.98633716876196,280.72044454631447,287.62053401782595,238.95107093635892,238.0446570812661,238.43848619309387,19.171930096999063,14.232795266731898,12021.489005907044,0.0,0.5649309828090564,99.81780945306245,0.9774964711852562,214.38212213315808,0.0,-1.013553685424995e-06
moon_titania_equator_land_exchange_3h,moon_1.2atm_titania_stack,0.0,land,5.0,short,1.0,0.125,20.0,100.0,29.530589999999997,294.9906586790275,279.7523042766265,286.7957389204516,292.29142241763253,280.3640782351049,286.43365287346785,291.81163761877247,280.87112245155123,286.5985840970158,238.67304315479157,238.11348990715015,238.37298983546455,15.238354402401,11.927344182527634,9270.938254110275,0.0,1.250644587254079,57.113265612705874,70.46476048938376,213.0977382884327,0.0,-7.328875938128476e-06
moon_titania_equator_land_exchange_5d,moon_1.2atm_titania_stack,0.0,land,5.0,short,1.0,5.0,20.0,100.0,29.530589999999997,301.4899202986765,284.4498930121574,292.5978291660083,300.1405670107657,285.00348535945324,292.4817109132157,299.6478982827272,285.3333989623954,292.6547415073384,240.63082710027396,237.71076383604017,238.96382375441044,17.04002728651909,15.137081651312485,15273.375773082029,0.0,0.6206606090764709,36.868808624952194,104.00396865361125,218.32090286540105,0.0,0.09412564990378769
