hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.0833333,0.999762,309.69,305.52,302.483,252.838,372.171,9.66432,945.327,339.86,311.546,4006,0.100836,0,0
0.25,0.997859,309.76,305.586,302.548,252.863,372.984,9.70358,943.337,339.86,311.546,4006,0.10051,0,0
0.416667,0.994056,309.818,305.651,302.612,252.888,372.382,9.73503,939.361,339.86,311.546,4006,0.100188,0,0
0.583333,0.988362,309.868,305.715,302.676,252.913,371.002,9.76214,933.406,340.741,312.097,4006,0.0998701,0,0
0.75,0.980785,309.905,305.779,302.739,252.937,368.315,9.78184,925.485,340.741,312.097,4006,0.0995575,0,0
0.916667,0.971342,309.932,305.842,302.801,252.962,364.611,9.79561,915.611,340.741,312.097,5253.86,0.0992512,0,0
1.08333,0.96005,309.953,305.903,302.862,252.985,360.279,9.80512,903.804,341.603,312.49,5253.86,0.0989525,0,0
1.25,0.94693,309.959,305.964,302.922,253.008,354.714,9.8074,890.086,341.603,312.49,5253.86,0.098662,0,0
1.41667,0.932008,309.955,306.023,302.98,253.031,348.187,9.80361,874.483,341.603,312.49,5253.86,0.0983806,0,0
1.58333,0.915311,309.944,306.08,303.037,253.052,341.086,9.79514,857.057,342.423,312.678,5253.86,0.0981096,0,0
1.75,0.896873,309.92,306.135,303.092,253.073,332.828,9.77973,837.898,342.423,312.678,5253.86,0.0978495,0,0
1.91667,0.876727,309.884,306.188,303.145,253.094,323.66,9.75812,816.966,342.423,312.678,5253.86,0.0976009,0,0
2.08333,0.854912,309.841,306.239,303.195,253.113,313.943,9.73128,794.3,343.181,312.653,5253.86,0.0973656,0,0
2.25,0.83147,309.783,306.288,303.243,253.131,303.086,9.69748,769.943,343.181,312.653,5253.86,0.0971433,0,0
2.41667,0.806445,309.714,306.334,303.289,253.149,291.359,9.65734,743.942,343.181,312.653,5253.86,0.0969349,0,0
2.58333,0.779884,309.637,306.378,303.332,253.165,279.192,9.61191,716.57,343.855,312.403,5253.86,0.0967422,0,0
