hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.25,0.999998,296.926,294.289,293.806,243.852,205.898,264.977,652.671,387.696,224.63,9270.94,0.478458,0,1.23991
0.75,0.999978,296.939,294.297,293.814,243.845,206.333,264.412,652.655,387.696,224.63,9270.94,0.480623,0,0
1.25,0.999939,296.951,294.301,293.818,243.845,206.715,263.833,652.622,387.696,224.63,9270.94,0.467524,0,0.225325
1.75,0.99988,296.928,294.309,293.826,243.839,204.621,268.189,652.574,387.696,224.63,9270.94,0.469754,0,0
2.25,0.999801,296.937,294.316,293.833,243.833,204.555,267.427,652.509,387.426,224.792,9270.94,0.471981,0,0
2.75,0.999703,296.948,294.313,293.829,243.836,204.827,266.777,652.427,387.426,224.792,9270.94,0.470667,0,0.307172
3.25,0.999585,296.943,294.32,293.837,243.83,204.813,267.219,652.33,387.426,224.792,9270.94,0.472889,0,0
3.75,0.999447,296.954,294.327,293.844,243.824,204.974,266.534,652.216,387.426,224.792,9270.94,0.475103,0,0
4.25,0.99929,296.967,294.335,293.851,243.819,205.471,265.962,652.086,387.959,224.694,9270.94,0.47731,0,0
4.75,0.999113,296.978,294.327,293.844,243.826,205.783,265.329,651.94,387.959,224.694,9270.94,0.474767,0,0.413947
5.25,0.998917,296.967,294.334,293.851,243.826,205.648,266.142,651.777,387.959,224.694,9270.94,0.476974,0,0.200033
5.75,0.998701,296.976,294.341,293.858,243.821,205.734,265.436,651.598,387.959,224.694,9270.94,0.479174,0,0
6.25,0.998465,296.987,294.349,293.865,243.815,206.017,264.794,651.403,388.066,224.666,9270.94,0.481367,0,0
6.75,0.99821,296.997,294.348,293.865,243.814,206.273,264.145,651.192,388.066,224.666,9270.94,0.463124,0,0.111745
7.25,0.997935,296.958,294.354,293.871,243.81,203.283,270.117,650.964,388.066,224.666,9270.94,0.465408,0,0.0442225
7.75,0.997641,296.966,294.343,293.86,243.811,203.122,269.283,650.721,388.066,224.666,9270.94,0.465975,0,0.197938
8.25,0.997327,296.957,294.35,293.866,243.807,203.405,268.995,650.461,387.97,224.474,9270.94,0.468236,0,0.0370361
8.75,0.996993,296.965,294.356,293.873,243.802,203.444,268.245,650.184,387.97,224.474,9270.94,0.470488,0,0.0158667
9.25,0.99664,296.974,294.34,293.857,243.807,203.625,267.543,649.892,387.97,224.474,9270.94,0.469898,0,0.319573
