hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.25,0.999998,296.833,294.239,293.756,238.982,202.224,263.933,645.428,387.089,219.764,7026.68,0.47617,0,0.870254
0.75,0.999978,296.845,294.247,293.764,239.015,202.489,263.309,645.412,387.089,219.764,9270.94,0.478344,0,1.24259
1.25,0.999939,296.857,294.255,293.772,239.009,202.849,262.719,645.38,387.089,219.764,9270.94,0.480509,0,0
1.75,0.99988,296.869,294.263,293.78,239.002,203.197,262.127,645.332,387.089,219.764,9270.94,0.482665,0,0
2.25,0.999801,296.879,294.253,293.77,239.004,203.463,261.498,645.269,386.887,220.232,9270.94,0.469526,0,0.276313
2.75,0.999703,296.845,294.26,293.777,238.998,201.673,265.748,645.189,386.887,220.232,9270.94,0.471755,0,0
3.25,0.999585,296.854,294.267,293.784,238.992,201.597,264.98,645.094,386.887,220.232,9270.94,0.473978,0,0
3.75,0.999447,296.864,294.274,293.791,238.986,201.842,264.318,644.983,386.887,220.232,9270.94,0.476192,0,0
4.25,0.99929,296.875,294.261,293.778,238.992,202.183,263.692,644.855,387.038,220.038,9270.94,0.474084,0,0.394393
4.75,0.999113,296.861,294.268,293.785,238.986,202.255,264.324,644.712,387.038,220.038,9270.94,0.476287,0,0
5.25,0.998917,296.87,294.275,293.792,238.981,202.308,263.611,644.553,387.038,220.038,9270.94,0.478482,0,0
5.75,0.998701,296.88,294.282,293.799,238.975,202.538,262.958,644.379,387.038,220.038,9270.94,0.480669,0,0
6.25,0.998465,296.893,294.289,293.806,238.97,202.96,262.369,644.188,387.453,219.961,9270.94,0.482848,0,0
6.75,0.99821,296.903,294.281,293.798,238.981,203.233,261.733,643.981,387.453,219.961,9270.94,0.47893,0,0.52041
7.25,0.997935,296.888,294.288,293.805,238.983,202.851,262.975,643.759,387.453,219.961,9270.94,0.481117,0,0.22825
7.75,0.997641,296.897,294.295,293.812,238.977,202.874,262.254,643.521,387.453,219.961,9270.94,0.483297,0,0
8.25,0.997327,296.906,294.302,293.819,238.972,203.067,261.586,643.266,387.437,219.97,9270.94,0.485471,0,0
8.75,0.996993,296.915,294.301,293.818,238.973,203.281,260.928,642.996,387.437,219.97,9270.94,0.466398,0,0.19612
9.25,0.99664,296.874,294.307,293.824,238.969,200.136,267.137,642.711,387.437,219.97,9270.94,0.468667,0,0.0180575
