hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.25,0.999998,294.904,292.059,291.579,238.625,228.076,225.499,645.428,373.199,218.023,7026.68,0.519177,0,0.0820274
0.75,0.999978,294.918,292.078,291.599,238.624,228.114,225.355,645.412,373.199,218.023,7026.68,0.519746,0,0.092131
1.25,0.999939,294.935,292.1,291.621,238.624,227.946,225.351,645.38,373.199,218.023,7026.68,0.520082,0,0.0988513
1.75,0.99988,294.954,292.12,291.641,238.649,227.695,225.432,645.332,373.199,218.023,5273.21,0.499269,0,0.93142
2.25,0.999801,294.931,292.103,291.624,238.661,224.198,231.647,645.269,372.861,218.169,7026.68,0.502212,0,0.599891
2.75,0.999703,294.923,292.087,291.608,238.651,224.877,230.642,645.189,372.861,218.169,7026.68,0.505129,0,0
3.25,0.999585,294.915,292.073,291.593,238.644,225.59,229.677,645.094,372.861,218.169,7026.68,0.508002,0,0
3.75,0.999447,294.909,292.059,291.58,238.637,226.263,228.731,644.983,372.861,218.169,7026.68,0.510834,0,0
4.25,0.99929,294.903,292.046,291.567,238.631,226.896,227.799,644.855,372.852,218.113,7026.68,0.513632,0,0
4.75,0.999113,294.897,292.034,291.555,238.628,227.499,226.883,644.712,372.852,218.113,7026.68,0.516393,0,0.0375996
5.25,0.998917,294.892,292.038,291.559,238.625,228.071,225.983,644.553,372.852,218.113,7026.68,0.518112,0,0.064264
5.75,0.998701,294.897,292.052,291.573,238.624,228.12,225.468,644.379,372.852,218.113,7026.68,0.519118,0,0.0806683
6.25,0.998465,294.911,292.071,291.592,238.623,228.1,225.29,644.188,373.291,218.006,7026.68,0.519713,0,0.0911513
6.75,0.99821,294.927,292.094,291.614,238.623,227.796,225.235,643.981,373.291,218.006,7026.68,0.520065,0,0.0981093
7.25,0.997935,294.944,292.114,291.635,238.649,227.421,225.274,643.759,373.291,218.006,5273.21,0.499221,0,0.929459
7.75,0.997641,294.922,292.097,291.618,238.66,223.924,231.51,643.521,373.291,218.006,7026.68,0.502164,0,0.597385
8.25,0.997327,294.909,292.082,291.602,238.651,224.21,230.389,643.266,372.559,218.271,7026.68,0.505078,0,0
8.75,0.996993,294.9,292.067,291.588,238.643,224.788,229.387,642.996,372.559,218.271,7026.68,0.507949,0,0
9.25,0.99664,294.893,292.053,291.574,238.636,225.355,228.411,642.711,372.559,218.271,7026.68,0.510779,0,0
9.75,0.996267,294.885,292.041,291.561,238.631,225.89,227.454,642.409,372.559,218.271,7026.68,0.51357,0,0
10.25,0.995874,294.881,292.029,291.55,238.627,226.538,226.556,642.091,372.903,218.058,7026.68,0.516329,0,0.0362527
10.75,0.995462,294.875,292.032,291.553,238.625,227.031,225.634,641.758,372.903,218.058,7026.68,0.518083,0,0.0633982
11.25,0.995031,294.878,292.046,291.566,238.623,227.007,225.079,641.409,372.903,218.058,7026.68,0.519109,0,0.080089
11.75,0.994579,294.889,292.065,291.585,238.623,226.713,224.814,641.044,372.903,218.058,7026.68,0.519713,0,0.0906883
12.25,0.994109,294.905,292.087,291.607,238.622,226.515,224.779,640.663,373.401,217.991,7026.68,0.520075,0,0.0977816
12.75,0.993619,294.922,292.109,291.629,238.648,226.072,224.792,640.266,373.401,217.991,5273.21,0.499205,0,0.927944
13.25,0.993109,294.899,292.092,291.612,238.659,222.447,231.017,639.854,373.401,217.991,7026.68,0.502137,0,0.596629
13.75,0.99258,294.889,292.075,291.596,238.65,222.966,229.961,639.425,373.401,217.991,7026.68,0.505059,0,0
14.25,0.992031,294.875,292.061,291.581,238.642,223.151,228.84,638.981,372.589,218.196,7026.68,0.507932,0,0
14.75,0.991463,294.866,292.047,291.567,238.636,223.599,227.827,638.522,372.589,218.196,7026.68,0.510765,0,0
15.25,0.990875,294.858,292.034,291.555,238.63,224.041,226.84,638.046,372.589,218.196,7026.68,0.513559,0,0
15.75,0.990268,294.85,292.022,291.543,238.626,224.455,225.871,637.555,372.589,218.196,7026.68,0.516316,0,0.0356009
16.25,0.989641,294.844,292.025,291.545,238.624,224.987,224.96,637.048,372.934,218.011,7026.68,0.518091,0,0.0630136
16.75,0.988995,294.847,292.038,291.558,238.622,224.897,224.373,636.525,372.934,218.011,7026.68,0.51913,0,0.0798603
17.25,0.988329,294.856,292.056,291.577,238.622,224.521,224.074,635.987,372.934,218.011,7026.68,0.519741,0,0.0905517
17.75,0.987644,294.869,292.078,291.599,238.621,224.022,223.95,635.432,372.934,218.011,7026.68,0.520104,0,0.0976406
18.25,0.98694,294.887,292.101,291.622,238.622,223.718,223.992,634.862,373.506,217.971,7026.68,0.520328,0,0.102665
18.75,0.986216,294.903,292.11,291.631,238.648,223.17,224.031,634.277,373.506,217.971,5273.21,0.499607,0,0.940844
19.25,0.985473,294.869,292.092,291.612,238.659,219.802,230.113,633.675,373.506,217.971,7026.68,0.502586,0,0.596969
19.75,0.984711,294.857,292.075,291.595,238.65,220.167,228.993,633.059,373.506,217.971,7026.68,0.505528,0,0
20.25,0.983929,294.841,292.059,291.58,238.642,220.225,227.819,632.426,372.614,218.174,7026.68,0.50842,0,0
20.75,0.983128,294.83,292.044,291.565,238.635,220.582,226.764,631.778,372.614,218.174,7026.68,0.51127,0,0
21.25,0.982307,294.82,292.031,291.551,238.63,220.938,225.737,631.114,372.614,218.174,7026.68,0.514081,0,0.00183334
21.75,0.981467,294.81,292.018,291.539,238.626,221.265,224.727,630.434,372.614,218.174,7026.68,0.516805,0,0.0428648
22.25,0.980608,294.803,292.023,291.544,238.624,221.679,223.792,629.739,372.937,217.987,7026.68,0.518401,0,0.0676705
22.75,0.97973,294.805,292.037,291.557,238.622,221.413,223.237,629.028,372.937,217.987,7026.68,0.519337,0,0.0829911
23.25,0.978832,294.814,292.056,291.576,238.621,220.915,222.946,628.302,372.937,217.987,7026.68,0.519889,0,0.0927802
23.75,0.977916,294.825,292.077,291.598,238.621,220.311,222.812,627.56,372.937,217.987,7026.68,0.520219,0,0.0993282
24.25,0.97698,294.842,292.1,291.62,238.621,219.912,222.831,626.803,373.505,217.947,7026.68,0.520423,0,0.104024
24.75,0.976024,294.856,292.108,291.629,238.647,219.273,222.843,626.03,373.505,217.947,5273.21,0.499659,0,0.939586
25.25,0.97505,294.821,292.089,291.609,238.658,215.806,228.903,625.242,373.505,217.947,7026.68,0.502661,0,0.597287
25.75,0.974056,294.807,292.071,291.591,238.649,216.099,227.741,624.438,373.505,217.947,7026.68,0.505627,0,0
26.25,0.973044,294.789,292.054,291.574,238.641,216.071,226.521,623.618,372.592,218.145,7026.68,0.50854,0,0
26.75,0.972012,294.776,292.038,291.559,238.634,216.347,225.424,622.783,372.592,218.145,7026.68,0.511411,0,0
27.25,0.970961,294.764,292.023,291.544,238.629,216.623,224.355,621.933,372.592,218.145,7026.68,0.514241,0,0.00382168
27.75,0.969891,294.752,292.011,291.531,238.625,216.869,223.306,621.067,372.592,218.145,7026.68,0.51693,0,0.0442805
28.25,0.968802,294.744,292.015,291.536,238.623,217.165,222.347,620.186,372.894,217.954,7026.68,0.518507,0,0.0687444
28.75,0.967694,294.744,292.028,291.549,238.621,216.803,221.765,619.29,372.894,217.954,7026.68,0.519432,0,0.0838533
29.25,0.966567,294.751,292.046,291.567,238.62,216.213,221.443,618.378,372.894,217.954,7026.68,0.519979,0,0.0935055
29.75,0.965421,294.761,292.067,291.588,238.62,215.52,221.276,617.45,372.894,217.954,7026.68,0.520306,0,0.0999591
30.25,0.964255,294.776,292.089,291.609,238.62,215.026,221.258,616.508,373.442,217.91,7026.68,0.52051,0,0.104587
30.75,0.963071,294.789,292.099,291.62,238.646,214.298,221.234,615.55,373.442,217.91,5273.21,0.499714,0,0.938821
31.25,0.961869,294.754,292.079,291.599,238.657,210.682,227.276,614.576,373.442,217.91,7026.68,0.502733,0,0.596909
31.75,0.960647,294.737,292.059,291.58,238.648,210.914,226.079,613.588,373.442,217.91,7026.68,0.505717,0,0
32.25,0.959406,294.717,292.042,291.562,238.64,210.806,224.819,612.584,372.522,218.104,7026.68,0.508648,0,0
32.75,0.958146,294.702,292.025,291.545,238.633,211.002,223.683,611.564,372.522,218.104,7026.68,0.511535,0,0
33.25,0.956868,294.688,292.009,291.53,238.627,211.196,222.576,610.53,372.522,218.104,7026.68,0.514379,0,0.00503663
33.75,0.955571,294.675,291.996,291.517,238.624,211.359,221.488,609.48,372.522,218.104,7026.68,0.517049,0,0.0451358
34.25,0.954255,294.665,292,291.52,238.621,211.548,220.501,608.416,372.802,217.91,7026.68,0.518615,0,0.0693827
34.75,0.95292,294.664,292.012,291.533,238.62,211.093,219.889,607.336,372.802,217.91,7026.68,0.519536,0,0.0843528
35.25,0.951567,294.669,292.03,291.551,238.619,210.414,219.534,606.241,372.802,217.91,7026.68,0.52008,0,0.0939104
35.75,0.950195,294.677,292.05,291.57,238.618,209.634,219.332,605.13,372.802,217.91,7026.68,0.520407,0,0.100295
36.25,0.948804,294.69,292.071,291.591,238.618,209.045,219.276,604.005,373.33,217.862,7026.68,0.520613,0,0.104863
36.75,0.947394,294.701,292.085,291.605,238.644,208.231,219.217,602.865,373.33,217.862,5273.21,0.499766,0,0.937735
37.25,0.945966,294.667,292.063,291.583,238.655,204.424,225.251,601.709,373.33,217.862,7026.68,0.502794,0,0.595192
37.75,0.94452,294.649,292.043,291.563,238.646,204.607,224.025,600.539,373.33,217.862,7026.68,0.505794,0,0
38.25,0.943054,294.627,292.024,291.544,238.638,204.426,222.728,599.353,372.41,218.052,7026.68,0.508739,0,0
38.75,0.941571,294.61,292.006,291.527,238.631,204.543,221.555,598.152,372.41,218.052,7026.68,0.511638,0,0
39.25,0.940068,294.594,291.989,291.51,238.625,204.656,220.412,596.937,372.41,218.052,7026.68,0.514495,0,0.00553904
39.75,0.938548,294.579,291.976,291.496,238.621,204.738,219.289,595.707,372.41,218.052,7026.68,0.517161,0,0.0454947
40.25,0.937009,294.567,291.978,291.499,238.619,204.828,218.267,594.461,372.666,217.855,7026.68,0.518728,0,0.0696497
40.75,0.935451,294.564,291.99,291.511,238.617,204.287,217.622,593.201,372.666,217.855,7026.68,0.519649,0,0.0845536
41.25,0.933875,294.567,292.007,291.528,238.617,203.523,217.232,591.926,372.666,217.855,7026.68,0.520195,0,0.0940575
41.75,0.932281,294.574,292.026,291.547,238.616,202.658,216.994,590.636,372.666,217.855,7026.68,0.520523,0,0.100391
42.25,0.930668,294.585,292.046,291.567,238.616,201.976,216.899,589.331,373.174,217.804,7026.68,0.520737,0,0.1049
42.75,0.929037,294.594,292.065,291.585,238.642,201.076,216.802,588.011,373.174,217.804,5273.21,0.499894,0,0.935081
43.25,0.927388,294.562,292.042,291.563,238.634,197.046,222.839,586.677,373.174,217.804,7026.68,0.502847,0,0.00821806
43.75,0.925721,294.542,292.02,291.541,238.628,197.189,221.589,585.328,373.174,217.804,7026.68,0.50586,0,0.00572175
44.25,0.924035,294.52,292.001,291.521,238.623,197.076,220.299,583.964,372.584,217.84,7026.68,0.508815,0,0.00661429
44.75,0.922331,294.502,291.982,291.502,238.618,197.132,219.097,582.585,372.584,217.84,7026.68,0.511724,0,0.00503403
45.25,0.92061,294.484,291.964,291.485,238.614,197.169,217.922,581.192,372.584,217.84,7026.68,0.514588,0,0.0106601
45.75,0.91887,294.467,291.95,291.47,238.611,197.18,216.768,579.805,372.584,217.84,7026.68,0.517266,0,0.0496978
46.25,0.917112,294.453,291.951,291.472,238.61,197.197,215.714,578.416,372.819,217.676,7026.68,0.51884,0,0.0737838
46.75,0.915336,294.449,291.962,291.483,238.61,196.589,215.038,577.012,372.819,217.676,7026.68,0.519766,0,0.0880857
47.25,0.913542,294.45,291.978,291.499,238.61,195.759,214.617,575.594,372.819,217.676,7026.68,0.520316,0,0.097398
47.75,0.91173,294.455,291.997,291.517,238.61,194.829,214.347,574.161,372.819,217.676,7026.68,0.520649,0,0.103278
48.25,0.9099,294.465,292.016,291.536,238.607,194.071,214.217,572.715,373.302,217.641,7026.68,0.522889,0,0.00282758
48.75,0.908052,294.476,291.995,291.515,238.609,193.414,213.497,571.254,373.302,217.641,7026.68,0.52378,0,0.158961
49.25,0.906187,294.454,292.014,291.534,238.622,193.514,212.99,569.78,373.302,217.641,7026.68,0.52601,0,0.491691
49.75,0.904303,294.464,292.001,291.522,238.619,192.584,212.193,568.291,373.302,217.641,7026.68,0.519008,0,0.0775795
