hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.25,0.499999,288.002,287.988,287.515,238.357,-0.0810582,15.6551,264.736,360.699,213.492,3113.18,0.926283,0,0
0.75,0.499989,288.003,287.99,287.517,238.357,-0.0869109,15.4684,264.729,360.699,213.492,3113.18,0.927046,0,0
1.25,0.499969,288.005,287.992,287.519,238.357,-0.0923207,15.2886,264.717,360.699,213.492,3113.18,0.927776,0,0
1.75,0.49994,288.007,287.993,287.521,238.358,-0.0894948,15.6735,264.697,360.699,213.492,3113.18,0.925946,0,0.0077602
2.25,0.499901,288.008,287.996,287.523,238.358,-0.0968845,15.5352,264.672,360.739,213.495,3113.18,0.926489,0,0
2.75,0.499851,288.01,287.998,287.525,238.358,-0.10414,15.3802,264.64,360.739,213.495,3113.18,0.927028,0,0
3.25,0.499792,288.012,288.001,287.528,238.358,-0.110835,15.2252,264.601,360.739,213.495,3113.18,0.927577,0,0
3.75,0.499724,288.013,288.003,287.53,238.358,-0.116993,15.0669,264.556,360.739,213.495,3113.18,0.92808,0,0
4.25,0.499645,288.015,288.005,287.532,238.358,-0.121856,14.8981,264.505,360.789,213.497,3113.18,0.928619,0,0
4.75,0.499557,288.017,288.007,287.534,238.358,-0.126312,14.0952,264.448,360.789,213.497,3113.18,0.929132,0,0
5.25,0.499459,288.018,288.009,287.536,238.358,-0.129744,11.4683,264.383,360.789,213.497,3113.18,0.929412,0,0
5.75,0.499351,288.02,288.011,287.538,238.358,-0.130507,11.8329,264.313,360.789,213.497,3113.18,0.920871,0,0
6.25,0.499233,288.022,288.012,287.539,238.358,-0.124441,16.3395,264.236,360.82,213.498,3113.18,0.921173,0,0
6.75,0.499105,288.023,288.013,287.54,238.358,-0.117552,16.3948,264.153,360.82,213.498,3113.18,0.921567,0,0
7.25,0.498968,288.025,288.014,287.541,238.358,-0.110586,16.3645,264.063,360.82,213.498,3113.18,0.922022,0,0
7.75,0.49882,288.027,288.014,287.542,238.366,-0.100241,18.1154,263.967,360.82,213.498,3113.18,0.913736,0,0.264321
8.25,0.498663,288.028,288.016,287.544,238.366,-0.103366,18.0729,263.865,360.779,213.543,3113.18,0.914139,0,0
8.75,0.498496,288.03,288.018,287.546,238.366,-0.1064,17.9726,263.756,360.779,213.543,3113.18,0.914516,0,0
9.25,0.49832,288.031,288.02,287.548,238.366,-0.109116,17.873,263.641,360.779,213.543,3113.18,0.914886,0,0
9.75,0.498133,288.033,288.022,287.549,238.366,-0.111524,17.7756,263.519,360.779,213.543,3113.18,0.915254,0,0
10.25,0.497937,288.035,288.024,287.551,238.366,-0.113226,17.6837,263.391,360.827,213.545,3113.18,0.915622,0,0
10.75,0.497731,288.036,288.026,287.553,238.366,-0.114707,17.5939,263.257,360.827,213.545,3113.18,0.915999,0,0
11.25,0.497515,288.038,288.028,287.555,238.366,-0.115914,17.5066,263.116,360.827,213.545,3113.18,0.916401,0,0
11.75,0.49729,288.04,288.029,287.556,238.366,-0.116855,17.423,262.969,360.827,213.545,3113.18,0.916769,0,0
12.25,0.497054,288.041,288.031,287.558,238.366,-0.117209,17.3443,262.815,360.873,213.546,3113.18,0.917079,0,0
12.75,0.496809,288.043,288.033,287.56,238.366,-0.117344,17.269,262.656,360.873,213.546,3113.18,0.917479,0,0
13.25,0.496554,288.044,288.034,287.561,238.366,-0.117242,17.1974,262.489,360.873,213.546,3113.18,0.91783,0,0
13.75,0.49629,288.046,288.036,287.563,238.366,-0.116908,17.1301,262.317,360.873,213.546,3113.18,0.918133,0,0
