hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.25,0.173648,282.514,282.369,281.906,238.027,8.74256,16.662,69.4173,331.4,209.948,3113.18,0.917334,0,0.000862046
0.75,0.173644,282.527,282.379,281.915,238.027,9.06073,16.618,69.4156,331.4,209.948,3113.18,0.917961,0,0.000875498
1.25,0.173638,282.539,282.389,281.926,238.028,9.23277,16.5503,69.4121,331.4,209.948,3113.18,0.91857,0,0.000860779
1.75,0.173627,282.551,282.399,281.936,238.028,9.343,16.4751,69.4068,331.4,209.948,3113.18,0.919162,0,0.000869669
2.25,0.173614,282.564,282.409,281.946,238.028,9.51162,16.4116,69.3997,331.591,209.967,3113.18,0.919742,0,0.000859658
2.75,0.173597,282.575,282.42,281.956,238.029,9.58917,16.3338,69.391,331.591,209.967,3113.18,0.920307,0,0.000864912
3.25,0.173576,282.586,282.43,281.966,238.029,9.64451,16.254,69.3804,331.591,209.967,3113.18,0.920854,0,0.000955531
3.75,0.173552,282.589,282.442,281.979,238.029,9.44684,16.6438,69.3681,331.591,209.967,3113.18,0.913861,0,0.0053079
4.25,0.173525,282.6,282.452,281.988,238.03,9.09618,17.3016,69.3541,331.777,209.987,3113.18,0.914657,0,0.00085943
4.75,0.173494,282.601,282.461,281.997,238.035,8.76324,17.9278,69.3382,331.777,209.987,3113.18,0.909537,0,0.17984
5.25,0.17346,282.611,282.471,282.007,238.036,8.60139,18.0115,69.3207,331.777,209.987,3113.18,0.910319,0,0
5.75,0.173423,282.621,282.48,282.017,238.036,8.62414,17.8871,69.3013,331.777,209.987,3113.18,0.911085,0,0
6.25,0.173382,282.633,282.49,282.026,238.036,8.711,17.7798,69.2802,331.9,210.027,3113.18,0.911829,0,0
6.75,0.173337,282.643,282.5,282.036,238.036,8.75389,17.6661,69.2574,331.9,210.027,3113.18,0.912557,0,0
7.25,0.17329,282.653,282.51,282.046,238.037,8.7898,17.5535,69.2328,331.9,210.027,3113.18,0.91327,0,0
7.75,0.173238,282.663,282.52,282.056,238.037,8.82264,17.4442,69.2065,331.9,210.027,3113.18,0.913969,0,0
8.25,0.173184,282.675,282.529,282.066,238.037,8.9407,17.3523,69.1784,332.093,210.049,3113.18,0.914653,0,0
8.75,0.173126,282.685,282.539,282.075,238.037,8.98284,17.2488,69.1485,332.093,210.049,3113.18,0.915322,0,0
9.25,0.173065,282.696,282.549,282.085,238.038,9.01171,17.1456,69.1169,332.093,210.049,3113.18,0.915978,0,0
9.75,0.173,282.706,282.559,282.095,238.038,9.03711,17.0431,69.0835,332.093,210.049,3113.18,0.916622,0,0
10.25,0.172932,282.717,282.568,282.105,238.038,9.14609,16.9587,69.0484,332.285,210.071,3113.18,0.917251,0,0
10.75,0.17286,282.727,282.578,282.114,238.038,9.17865,16.8634,69.0115,332.285,210.071,3113.18,0.917869,0,0
11.25,0.172785,282.737,282.588,282.124,238.039,9.19878,16.7664,68.9729,332.285,210.071,3113.18,0.918474,0,0
11.75,0.172707,282.747,282.598,282.134,238.039,9.21506,16.6707,68.9326,332.285,210.071,3113.18,0.919067,0,0
12.25,0.172625,282.759,282.607,282.144,238.039,9.31468,16.5927,68.8905,332.477,210.093,3113.18,0.919649,0,0
12.75,0.17254,282.769,282.617,282.153,238.039,9.33893,16.5025,68.8466,332.477,210.093,3113.18,0.920219,0,0
13.25,0.172452,282.76,282.626,282.162,238.041,8.5411,18.0493,68.801,332.477,210.093,3113.18,0.908029,0,0.0498142
13.75,0.17236,282.768,282.635,282.171,238.041,8.12363,18.3787,68.7536,332.477,210.093,3113.18,0.908816,0,0
14.25,0.172264,282.778,282.644,282.18,238.041,8.17157,18.2556,68.7045,332.626,210.109,3113.18,0.909586,0,0
14.75,0.172166,282.788,282.653,282.189,238.042,8.18672,18.1295,68.6537,332.626,210.109,3113.18,0.910343,0,0
15.25,0.172064,282.797,282.662,282.198,238.042,8.2005,18.0068,68.6011,332.626,210.109,3113.18,0.911088,0,0
15.75,0.171958,282.806,282.671,282.207,238.042,8.21646,17.8849,68.5468,332.626,210.109,3113.18,0.911821,0,0
16.25,0.171849,282.817,282.68,282.216,238.042,8.31446,17.7824,68.4907,332.81,210.128,3113.18,0.912542,0,0
16.75,0.171737,282.826,282.689,282.225,238.042,8.34268,17.6672,68.4329,332.81,210.128,3113.18,0.91325,0,0
17.25,0.171622,282.835,282.698,282.234,238.043,8.35963,17.5517,68.3734,332.81,210.128,3113.18,0.913947,0,0
17.75,0.171503,282.844,282.707,282.243,238.043,8.37296,17.4389,68.3121,332.81,210.128,3113.18,0.914632,0,0
18.25,0.17138,282.855,282.716,282.252,238.043,8.46664,17.3421,68.2491,332.991,210.148,3113.18,0.915306,0,0
