years,total_rate_kg_s,N2_rate_kg_s,O2_rate_kg_s,dv_km_s,ve_km_s,propellant_per_delivered_kg,electric_energy_MJ_kg,transport_power_PW,oxygen_power_24kWh_PW
200,497716790.96746755,400643597.23917073,97073193.7282968,10.0,10.0,1.7182818284590453,122.73441631850325,49.17275805889512,8.491962987351405
200,497716790.96746755,400643597.23917073,97073193.7282968,10.0,30.0,0.3956124250860895,254.32227326962897,101.89259042078756,8.491962987351405
200,497716790.96746755,400643597.23917073,97073193.7282968,10.0,50.0,0.22140275816016985,395.36206814316046,158.39928119279395,8.491962987351405
200,497716790.96746755,400643597.23917073,97073193.7282968,20.0,30.0,0.9477340410546757,609.257597820863,244.0951556362465,8.491962987351405
200,497716790.96746755,400643597.23917073,97073193.7282968,20.0,50.0,0.49182469764127035,878.2583886451256,351.8686001322608,8.491962987351405
300,331811193.97831166,267095731.49278048,64715462.4855312,10.0,10.0,1.7182818284590453,122.73441631850325,32.78183870593008,5.661308658234269
300,331811193.97831166,267095731.49278048,64715462.4855312,10.0,30.0,0.3956124250860895,254.32227326962897,67.92839361385836,5.661308658234269
300,331811193.97831166,267095731.49278048,64715462.4855312,10.0,50.0,0.22140275816016985,395.36206814316046,105.59952079519597,5.661308658234269
300,331811193.97831166,267095731.49278048,64715462.4855312,20.0,30.0,0.9477340410546757,609.257597820863,162.73010375749766,5.661308658234269
300,331811193.97831166,267095731.49278048,64715462.4855312,20.0,50.0,0.49182469764127035,878.2583886451256,234.5790667548405,5.661308658234269
500,199086716.38698703,160257438.8956683,38829277.49131872,10.0,10.0,1.7182818284590453,122.73441631850325,19.669103223558047,3.3967851949405614
500,199086716.38698703,160257438.8956683,38829277.49131872,10.0,30.0,0.3956124250860895,254.32227326962897,40.75703616831502,3.3967851949405614
500,199086716.38698703,160257438.8956683,38829277.49131872,10.0,50.0,0.22140275816016985,395.36206814316046,63.35971247711758,3.3967851949405614
500,199086716.38698703,160257438.8956683,38829277.49131872,20.0,30.0,0.9477340410546757,609.257597820863,97.6380622544986,3.3967851949405614
500,199086716.38698703,160257438.8956683,38829277.49131872,20.0,50.0,0.49182469764127035,878.2583886451256,140.74744005290432,3.3967851949405614
