areal_mass_kg_m2,exhaust_m_s,specific_power_W_kg,closed,cant_deg,total_mass_kg,power_mass_fraction,fuel_buffer_fraction,energy_storage_mass_kg,propellant_kg_s,mean_power_W,peak_power_W,power_system_mass_kg,fuel_buffer_mass_kg,Gyr_propellant_kg
0.025,10000.0,50.0,True,45.0,4283349045421.618,0.34745290986136507,0.08266336165297973,0.0,585443.1733261123,41817369523293.74,74413104489182.08,1488262089783.6416,354076031227.63275,1.847518148655612e+22
0.025,10000.0,100.0,True,45.0,3282648595794.7856,0.17372645493068253,0.08266336165297973,0.0,448668.5979726033,32047756998043.094,57028290333061.12,570282903330.6112,271354768053.83044,1.4158904147380225e+22
0.025,10000.0,300.0,True,45.0,2840274502989.492,0.057908818310227504,0.08266336165297973,0.0,388205.42069172894,27728958620837.78,49343082043437.07,164476940144.79022,234786638434.35767,1.2250831384021305e+22
0.025,10000.0,1000.0,True,45.0,2712342875707.1133,0.017372645493068252,0.08266336165297973,0.0,370719.874440245,26479991031446.074,47120571235308.97,47120571235.30897,224211380061.46017,1.1699029509635475e+22
0.025,30000.0,50.0,False,,,1.0423587295840953,0.027554453884326577,,,,,,,
0.025,30000.0,100.0,True,45.0,5409248522126.173,0.5211793647920476,0.027554453884326577,0.0,246443.26876948963,158427815637529.06,281918870876404.06,2819188708764.0405,149048888951.78732,7.777158098520046e+21
0.025,30000.0,300.0,True,45.0,3056156978530.2437,0.17372645493068253,0.027554453884326577,0.0,139237.32891563236,89509711445763.67,159280595277517.56,530935317591.7252,84210736528.17445,4.39399593098796e+21
0.025,30000.0,1000.0,True,45.0,2652328256646.0747,0.05211793647920476,0.027554453884326577,0.0,120839.04866708098,77682245571694.92,138233875601880.03,138233875601.88004,73083456633.85059,3.8133903622162743e+21
0.025,50000.0,50.0,False,,,1.7372645493068253,0.016532672330595948,,,,,,,
0.025,50000.0,100.0,True,45.0,21256670853545.215,0.8686322746534126,0.016532672330595948,0.0,581067.4174288894,1037620388265874.0,1846423035507388.0,18464230355073.88,351429574060.9923,1.8337093132253921e+22
0.025,50000.0,300.0,True,45.0,3517695902597.3857,0.2895440915511376,0.016532672330595948,0.0,96158.91818175022,171712353895982.56,305558419341215.7,1018528064470.719,58156913716.32253,3.034544676412401e+21
0.025,50000.0,1000.0,True,45.0,2722506983689.6597,0.08686322746534127,0.016532672330595948,0.0,74421.81858316842,132896104612800.77,236485743400215.03,236485743400.21503,45010315879.10026,2.348573982120196e+21
0.025,100000.0,50.0,False,,,3.4745290986136506,0.008266336165297974,,,,,,,
0.025,100000.0,100.0,False,,,1.7372645493068253,0.008266336165297974,,,,,,,
0.025,100000.0,300.0,True,45.0,5915515953495.145,0.5790881831022752,0.008266336165297974,0.0,80852.58509056554,577518464932611.0,1027681615686607.8,3425605385622.026,48899643462.77404,2.5515135392540315e+21
0.025,100000.0,1000.0,True,45.0,2984094636135.1187,0.17372645493068253,0.008266336165297974,0.0,40786.258947346934,291330421052478.1,518416182313419.2,518416182313.4192,24667529411.355427,1.2871164453567956e+21
0.05,10000.0,50.0,True,45.0,8566698090843.236,0.34745290986136507,0.08266336165297973,0.0,1170886.3466522247,83634739046587.48,148826208978364.16,2976524179567.283,708152062455.2655,3.695036297311224e+22
0.05,10000.0,100.0,True,45.0,6565297191589.571,0.17372645493068253,0.08266336165297973,0.0,897337.1959452066,64095513996086.19,114056580666122.23,1140565806661.2224,542709536107.6609,2.831780829476045e+22
0.05,10000.0,300.0,True,45.0,5680549005978.984,0.057908818310227504,0.08266336165297973,0.0,776410.8413834579,55457917241675.56,98686164086874.14,328953880289.58044,469573276868.71533,2.450166276804261e+22
0.05,10000.0,1000.0,True,45.0,5424685751414.227,0.017372645493068252,0.08266336165297973,0.0,741439.74888049,52959982062892.15,94241142470617.94,94241142470.61794,448422760122.92035,2.339805901927095e+22
0.05,30000.0,50.0,False,,,1.0423587295840953,0.027554453884326577,,,,,,,
0.05,30000.0,100.0,True,45.0,10818497044252.346,0.5211793647920476,0.027554453884326577,0.0,492886.53753897926,316855631275058.1,563837741752808.1,5638377417528.081,298097777903.57465,1.5554316197040092e+22
0.05,30000.0,300.0,True,45.0,6112313957060.487,0.17372645493068253,0.027554453884326577,0.0,278474.6578312647,179019422891527.34,318561190555035.1,1061870635183.4504,168421473056.3489,8.78799186197592e+21
0.05,30000.0,1000.0,True,45.0,5304656513292.149,0.05211793647920476,0.027554453884326577,0.0,241678.09733416195,155364491143389.84,276467751203760.06,276467751203.7601,146166913267.70117,7.626780724432549e+21
0.05,50000.0,50.0,False,,,1.7372645493068253,0.016532672330595948,,,,,,,
0.05,50000.0,100.0,True,45.0,42513341707090.43,0.8686322746534126,0.016532672330595948,0.0,1162134.8348577789,2075240776531748.0,3692846071014776.0,36928460710147.76,702859148121.9846,3.6674186264507843e+22
0.05,50000.0,300.0,True,45.0,7035391805194.771,0.2895440915511376,0.016532672330595948,0.0,192317.83636350045,343424707791965.1,611116838682431.4,2037056128941.438,116313827432.64507,6.069089352824802e+21
0.05,50000.0,1000.0,True,45.0,5445013967379.319,0.08686322746534127,0.016532672330595948,0.0,148843.63716633685,265792209225601.53,472971486800430.06,472971486800.43005,90020631758.20052,4.697147964240392e+21
0.05,100000.0,50.0,False,,,3.4745290986136506,0.008266336165297974,,,,,,,
0.05,100000.0,100.0,False,,,1.7372645493068253,0.008266336165297974,,,,,,,
0.05,100000.0,300.0,True,45.0,11831031906990.29,0.5790881831022752,0.008266336165297974,0.0,161705.17018113108,1155036929865222.0,2055363231373215.5,6851210771244.052,97799286925.54808,5.103027078508063e+21
0.05,100000.0,1000.0,True,45.0,5968189272270.237,0.17372645493068253,0.008266336165297974,0.0,81572.51789469387,582660842104956.2,1036832364626838.4,1036832364626.8384,49335058822.71085,2.574232890713591e+21
