wavelength_nm,TiO2_n,TiO2_k,TiO2_1um_absorption_only_T,thickness_um_for_absorption_T_1e_5
121.6,1.1221536298169261,0.9160682717395676,7.693466905116496e-42,0.12161343697464624
150,1.4456401330839932,1.379726044056584,6.322919008971122e-51,0.09960341430233723
180,1.850826577995196,1.2571676372173146,7.644302131636985e-39,0.13117622890205274
200,1.9166401709221899,1.2716020867962896,2.0004312281991284e-35,0.14409688504168913
250,2.441723303095257,1.4923538011358177,2.6417042484116416e-33,0.15347726154179994
300,3.325536990945235,0.8917925426550213,5.981240016887127e-17,0.3082004350042071
350,3.027065380591972,0.07187287288434813,0.07573479402653946,4.461479159539484
400,2.681087048948272,0.0006493397543983874,0.9798070543469554,564.369880262831
500,2.4807094543826596,6.528010396102789e-07,0.9999835934549864,701721.8440294125
1000,2.313655397918123,0.0,1.0,
