case,interaction,upstream_speed_m_s,tree_count,initial_mass_kg,max_height_m,max_root_utilization,max_domain_utilization
flat-0,shelter,15.0,49,2.9274458e+08,300,0.53988221,0.39037117
flat-0,contacts,15.0,49,2.9274458e+08,300,0.51271296,0.37230575
flat-0,contacts_grafts,15.0,49,2.9274458e+08,300,0.50574868,0.37056836
flat-90,shelter,15.0,49,2.9274458e+08,300,0.53988221,0.39037117
flat-90,contacts,15.0,49,2.9274458e+08,300,0.51271296,0.37230575
flat-90,contacts_grafts,15.0,49,2.9274458e+08,300,0.50574868,0.37056836
flat-180,shelter,15.0,49,2.9274458e+08,300,0.53988221,0.39037117
flat-180,contacts,15.0,49,2.9274458e+08,300,0.51271296,0.37230575
flat-180,contacts_grafts,15.0,49,2.9274458e+08,300,0.50574868,0.37056836
dome-0,shelter,15.0,49,2.9274458e+08,391.96787,0.599417,0.39697035
dome-0,contacts,15.0,49,2.9274458e+08,391.96787,0.599417,0.39697035
dome-0,contacts_grafts,15.0,49,2.9274458e+08,391.96787,0.58523992,0.39293354
dome-90,shelter,15.0,49,2.9274458e+08,391.96787,0.599417,0.39697035
dome-90,contacts,15.0,49,2.9274458e+08,391.96787,0.599417,0.39697035
dome-90,contacts_grafts,15.0,49,2.9274458e+08,391.96787,0.58523992,0.39293354
dome-180,shelter,15.0,49,2.9274458e+08,391.96787,0.599417,0.39697035
dome-180,contacts,15.0,49,2.9274458e+08,391.96787,0.599417,0.39697035
dome-180,contacts_grafts,15.0,49,2.9274458e+08,391.96787,0.58523992,0.39293354
ramp-0,shelter,15.0,49,2.9274458e+08,365.48278,0.61732589,0.40453794
ramp-0,contacts,15.0,49,2.9274458e+08,365.48278,0.61732589,0.40453794
ramp-0,contacts_grafts,15.0,49,2.9274458e+08,365.48278,0.60293449,0.40046639
ramp-90,shelter,15.0,49,2.9274458e+08,365.48278,0.62706526,0.41119758
ramp-90,contacts,15.0,49,2.9274458e+08,365.48278,0.62706526,0.41119758
ramp-90,contacts_grafts,15.0,49,2.9274458e+08,365.48278,0.61177454,0.40687159
ramp-180,shelter,15.0,49,2.9274458e+08,365.48278,0.50349132,0.39679852
ramp-180,contacts,15.0,49,2.9274458e+08,365.48278,0.49493809,0.39231044
ramp-180,contacts_grafts,15.0,49,2.9274458e+08,365.48278,0.48861138,0.39147209
irregular-0,shelter,15.0,49,2.9274458e+08,362.30723,0.58288587,0.4029498
irregular-0,contacts,15.0,49,2.9274458e+08,362.30723,0.58288587,0.4029498
irregular-0,contacts_grafts,15.0,49,2.9274458e+08,362.30723,0.55412829,0.40328852
irregular-90,shelter,15.0,49,2.9274458e+08,362.30723,0.5974016,0.39323099
irregular-90,contacts,15.0,49,2.9274458e+08,362.30723,0.5974016,0.39589085
irregular-90,contacts_grafts,15.0,49,2.9274458e+08,362.30723,0.55941648,0.39594395
irregular-180,shelter,15.0,49,2.9274458e+08,362.30723,0.58230201,0.40243761
irregular-180,contacts,15.0,49,2.9274458e+08,362.30723,0.58230201,0.40243761
irregular-180,contacts_grafts,15.0,49,2.9274458e+08,362.30723,0.55482311,0.40211377
gap-0,shelter,15.0,40,2.9274458e+08,321.79588,0.52829636,0.39415407
gap-0,contacts,15.0,40,2.9274458e+08,321.79588,0.51898656,0.38781979
gap-0,contacts_grafts,15.0,40,2.9274458e+08,321.79588,0.50924241,0.38507171
