case,support,wind_m_s,shape,matched_mass,aboveground_mass_proxy_kg,target_mass_proxy_kg,matched_height_scale,planting_area_m2,maximum_height_m,minimum_height_m,individual_count,root_and_water_costs_excluded_from_matching,status,standing_trees,maximum_root_utilization,maximum_stem_utilization,maximum_crown_utilization,maximum_link_utilization,maximum_domain_utilization,maximum_vertical_drag_to_weight,damage_utilization,all_in_domain,most_loaded_root,active_crown_contacts,mean_root_utilization,equilibrium_relative_residual,horizontal_force_balance_relative_residual
flat-matched-0,independent,20.0,flat,True,279278081.7013992,279278081.7013999,0.999999999999999,396900.0,299.9999999999997,299.9999999999997,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.6421495671881254,0.37778656948575473,0.2029785663103664,0.0,0.6602859323236898,0.0028821778462325884,0.6421495671881254,True,t00-06,0,0.5022137473328119,2.161324435324195e-11,8.959219421092854e-12
flat-matched-0,contact,20.0,flat,True,279278081.7013992,279278081.7013999,0.999999999999999,396900.0,299.9999999999997,299.9999999999997,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.63202849636967,0.3729095691772451,0.20325753449421557,0.040752804317685506,0.6509112720512209,0.0028821778462325884,0.63202849636967,True,t00-00,42,0.5022138838973346,2.483838158579512e-11,2.7326061801486228e-12
flat-matched-0,clonal_roots,20.0,flat,True,279278081.7013992,279278081.7013999,0.999999999999999,396900.0,299.9999999999997,299.9999999999997,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.6299076034166851,0.3771002697941105,0.2029785663103664,0.03929645365224853,0.6545449710515612,0.0028821778462325884,0.6299076034166851,True,t00-00,0,0.5021967448558807,2.324872571152921e-11,2.749526424578214e-12
tapered-matched-0,independent,20.0,tapered,True,279278081.7013999,279278081.7013999,1.3399999441822643,396900.0,401.9999832546793,221.09999079007363,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.7009406053211154,0.38545138260937367,0.241685664256546,0.0,0.6695443248778914,0.0025755296332906244,0.7009406053211154,True,t00-06,0,0.546659762523613,1.5356490047561514e-11,1.8001037255382433e-12
tapered-same_peak-0,independent,20.0,tapered,False,118572179.58839796,279278081.7013999,1.0,396900.0,300.0,165.0,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.8110554694752785,0.37981364873697504,0.20260530523590398,0.0,0.7164142319874138,0.002789226111797422,0.8110554694752785,True,t00-00,0,0.6526210407838445,1.849555760484618e-11,2.900754576477056e-12
dome-matched-0,independent,20.0,dome,True,279278081.7013999,279278081.7013999,1.1377310460189998,396900.0,341.31931380569995,187.725622593135,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.7263488373519772,0.37012867815342076,0.21626587190295965,0.0,0.6613327692854013,0.002661333255528218,0.7263488373519772,True,t00-00,0,0.5180449670224769,1.676460424927107e-11,2.4931089831674996e-14
dome-matched-0,contact,20.0,dome,True,279278081.7013999,279278081.7013999,1.1377310460189998,396900.0,341.31931380569995,187.725622593135,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.7263488373542779,0.3636779159043218,0.21655450292545447,0.05511329085413374,0.6556506180651225,0.002661333255528218,0.7263488373542779,True,t00-06,34,0.5172807941153398,2.1235821998094487e-11,4.942372485561077e-13
dome-matched-0,clonal_roots,20.0,dome,True,279278081.7013999,279278081.7013999,1.1377310460189998,396900.0,341.31931380569995,187.725622593135,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.6627004209959446,0.3691628772803831,0.21626587190295965,0.04443950279623375,0.6524887350240047,0.002661333255528218,0.6627004209959446,True,t00-06,0,0.5129647216357905,2.129011641334333e-11,4.600120557166193e-13
dome-same_peak-0,independent,20.0,dome,False,191357237.98218828,279278081.7013999,1.0,396900.0,300.0,165.0,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.7858533498501892,0.36420002809904295,0.2004034818341201,0.0,0.6932163230557306,0.002842356433790235,0.7858533498501892,True,t00-00,0,0.5627430930630536,1.8561595466180248e-11,3.477311321684622e-13
ramp-matched-0,independent,20.0,ramp,True,279278081.7013999,279278081.7013999,1.246273731021381,396900.0,373.88211930641427,205.63516561852785,49,True,COUPLED_SMALL_DISPLACEMENT_STAND,49,0.7194093762966731,0.3600832060972082,0.2299166148537793,0.0,0.6732247954703321,0.002714535090050062,0.7194093762966731,True,t00-06,0,0.5641832897854395,1.5725486174353474e-11,6.757750122712883e-13
